Date,Low,Open,Volume,High,Close,Adjusted Close
13-08-1993,3.125,3.171875,14796800,3.1875,3.125,2.2513458728790283
16-08-1993,3.03125,3.140625,3422400,3.140625,3.09375,2.2288317680358887
17-08-1993,3.046875,3.0625,732800,3.09375,3.046875,2.1950607299804688
18-08-1993,3.046875,3.046875,1084800,3.125,3.09375,2.2288317680358887
19-08-1993,3.0625,3.078125,832800,3.15625,3.15625,2.2738592624664307
20-08-1993,3.140625,3.15625,464000,3.203125,3.1875,2.2963714599609375
23-08-1993,3.140625,3.171875,146400,3.171875,3.140625,2.262601375579834
24-08-1993,3.125,3.15625,354400,3.15625,3.125,2.2513458728790283
25-08-1993,3.125,3.125,214400,3.15625,3.15625,2.2738592624664307
26-08-1993,3.15625,3.15625,287200,3.1875,3.15625,2.2738592624664307
27-08-1993,3.15625,3.15625,330400,3.21875,3.1875,2.2963714599609375
30-08-1993,3.171875,3.203125,120800,3.21875,3.1875,2.2963714599609375
31-08-1993,3.171875,3.203125,233600,3.203125,3.203125,2.3076283931732178
01-09-1993,3.171875,3.171875,196800,3.1875,3.1875,2.2963714599609375
02-09-1993,3.125,3.1875,132000,3.1875,3.125,2.2513458728790283
03-09-1993,3.0625,3.125,51200,3.15625,3.0625,2.2063186168670654
07-09-1993,3.09375,3.09375,984800,3.15625,3.09375,2.2288317680358887
08-09-1993,2.953125,3.125,208800,3.125,3.0,2.1612911224365234
09-09-1993,2.96875,2.96875,277600,3.0,2.984375,2.1500349044799805
10-09-1993,2.859375,3.0,152000,3.0,2.875,2.071237802505493
13-09-1993,2.875,2.875,320800,2.9375,2.875,2.071237802505493
14-09-1993,2.71875,2.90625,1212000,2.90625,2.71875,1.9586714506149292
15-09-1993,2.5625,2.65625,1803200,2.875,2.875,2.071237802505493
16-09-1993,2.78125,2.875,248000,2.875,2.859375,2.0599801540374756
17-09-1993,2.828125,2.828125,784800,2.96875,2.953125,2.1275219917297363
20-09-1993,2.90625,3.0,484800,3.03125,2.90625,2.093751907348633
21-09-1993,2.78125,2.875,240000,2.875,2.828125,2.0374674797058105
22-09-1993,2.765625,2.828125,152000,2.828125,2.796875,2.0149543285369873
23-09-1993,2.71875,2.78125,946400,2.78125,2.734375,1.9699277877807617
24-09-1993,2.734375,2.734375,480800,2.828125,2.8125,2.026209831237793
27-09-1993,2.8125,2.8125,86400,2.90625,2.890625,2.0824947357177734
28-09-1993,2.890625,2.890625,98400,2.90625,2.890625,2.0824947357177734
29-09-1993,3.078125,3.125,788800,3.125,3.125,2.2513458728790283
30-09-1993,3.125,3.125,1268000,3.3125,3.296875,2.375168561935425
01-10-1993,3.1875,3.296875,548800,3.296875,3.25,2.3413989543914795
04-10-1993,3.203125,3.21875,387200,3.25,3.203125,2.3076283931732178
05-10-1993,3.03125,3.140625,482400,3.140625,3.03125,2.183804988861084
06-10-1993,3.03125,3.03125,42400,3.0625,3.0625,2.2063186168670654
07-10-1993,3.046875,3.046875,8000,3.078125,3.078125,2.21757435798645
08-10-1993,3.078125,3.078125,905600,3.125,3.125,2.2513458728790283
11-10-1993,3.109375,3.109375,713600,3.28125,3.28125,2.363912343978882
12-10-1993,3.25,3.265625,176800,3.296875,3.28125,2.363912343978882
13-10-1993,3.25,3.296875,346400,3.296875,3.25,2.3413989543914795
14-10-1993,3.28125,3.28125,383200,3.328125,3.296875,2.375168561935425
15-10-1993,3.296875,3.3125,144000,3.328125,3.296875,2.375168561935425
18-10-1993,3.296875,3.296875,160000,3.34375,3.296875,2.375168561935425
19-10-1993,3.28125,3.3125,396800,3.3125,3.296875,2.375168561935425
20-10-1993,3.296875,3.296875,304000,3.3125,3.3125,2.3864266872406006
