Date,Low,Open,Volume,High,Close,Adjusted Close
07-06-2013,109.75,109.75,100,109.75,109.75,0.10019971430301666
10-06-2013,109.75,109.75,0,109.75,109.75,0.10019971430301666
11-06-2013,109.75,109.75,0,109.75,109.75,0.10019971430301666
12-06-2013,109.75,109.75,0,109.75,109.75,0.10019971430301666
13-06-2013,109.75,109.75,0,109.75,109.75,0.10019971430301666
14-06-2013,109.75,109.75,0,109.75,109.75,0.10019971430301666
17-06-2013,109.75,109.75,0,109.75,109.75,0.10019971430301666
18-06-2013,109.75,109.75,0,109.75,109.75,0.10019971430301666
19-06-2013,109.75,109.75,0,109.75,109.75,0.10019971430301666
20-06-2013,109.75,109.75,0,109.75,109.75,0.10019971430301666
21-06-2013,109.75,109.75,0,109.75,109.75,0.10019971430301666
24-06-2013,109.75,109.75,0,109.75,109.75,0.10019971430301666
25-06-2013,109.75,109.75,0,109.75,109.75,0.10019971430301666
26-06-2013,109.75,109.75,0,109.75,109.75,0.10019971430301666
27-06-2013,109.75,109.75,0,109.75,109.75,0.10019971430301666
28-06-2013,109.75,109.75,0,109.75,109.75,0.10019971430301666
01-07-2013,109.75,109.75,0,109.75,109.75,0.10019971430301666
02-07-2013,109.75,109.75,0,109.75,109.75,0.10019971430301666
03-07-2013,109.75,109.75,0,109.75,109.75,0.10019971430301666
05-07-2013,109.75,109.75,0,109.75,109.75,0.10019971430301666
08-07-2013,109.75,109.75,0,109.75,109.75,0.10019971430301666
09-07-2013,109.75,109.75,0,109.75,109.75,0.10019971430301666
10-07-2013,109.75,109.75,0,109.75,109.75,0.10019971430301666
11-07-2013,109.75,109.75,0,109.75,109.75,0.10019971430301666
12-07-2013,109.75,109.75,0,109.75,109.75,0.10019971430301666
15-07-2013,109.75,109.75,0,109.75,109.75,0.10019971430301666
16-07-2013,109.75,109.75,0,109.75,109.75,0.10019971430301666
17-07-2013,109.75,109.75,0,109.75,109.75,0.10019971430301666
18-07-2013,109.75,109.75,0,109.75,109.75,0.10019971430301666
19-07-2013,109.75,109.75,0,109.75,109.75,0.10019971430301666
22-07-2013,109.75,109.75,0,109.75,109.75,0.10019971430301666
23-07-2013,109.75,109.75,0,109.75,109.75,0.10019971430301666
24-07-2013,109.75,109.75,0,109.75,109.75,0.10019971430301666
25-07-2013,109.75,109.75,0,109.75,109.75,0.10019971430301666
26-07-2013,109.75,109.75,0,109.75,109.75,0.10019971430301666
