Date,Low,Open,Volume,High,Close,Adjusted Close
28-01-2000,12.0,12.0,11192000,12.1875,12.0,6.5847697257995605
31-01-2000,12.0,12.0,1880900,12.0625,12.0625,6.619068622589111
01-02-2000,12.0,12.0,367100,12.0625,12.0,6.5847697257995605
02-02-2000,12.0,12.0,697400,12.0625,12.0625,6.619068622589111
03-02-2000,12.0,12.0,579800,12.0625,12.0,6.5847697257995605
04-02-2000,11.25,12.0,1681900,12.0625,11.375,6.241816997528076
07-02-2000,10.5,11.125,927200,11.125,10.8125,5.933152675628662
08-02-2000,9.75,10.75,795400,10.875,9.875,5.41871976852417
09-02-2000,9.75,9.875,1710100,10.25,10.125,5.5559000968933105
10-02-2000,10.4375,10.5,571500,11.25,10.625,5.83026647567749
11-02-2000,10.0,10.75,1062000,10.9375,10.0625,5.521605014801025
14-02-2000,9.75,10.1875,289000,10.3125,9.8125,5.384422302246094
15-02-2000,9.9375,10.0,541400,10.625,10.4375,5.727379322052002
16-02-2000,10.25,10.5625,360700,10.625,10.5625,5.795970916748047
17-02-2000,10.25,10.875,291600,10.875,10.375,5.693083763122559
18-02-2000,10.3125,10.5,330700,10.75,10.5,5.761675834655762
22-02-2000,9.875,10.25,314500,10.625,10.3125,5.658785820007324
23-02-2000,9.8125,9.9375,494300,10.3125,10.125,5.5559000968933105
24-02-2000,9.875,10.125,919900,10.3125,9.9375,5.453013896942139
25-02-2000,10.0,10.3125,1095500,10.625,10.4375,5.727379322052002
28-02-2000,10.0,10.25,366800,10.3125,10.125,5.5559000968933105
29-02-2000,10.0,10.125,1652500,11.25,10.875,5.967448711395264
01-03-2000,10.875,10.875,266700,11.25,11.0,6.036040782928467
02-03-2000,10.8125,10.875,890300,11.9375,11.5,6.3104047775268555
03-03-2000,10.875,11.5,160300,11.5,10.9375,6.001742362976074
06-03-2000,10.375,10.5,242800,10.8125,10.75,5.898856163024902
07-03-2000,10.0625,10.625,393500,10.75,10.25,5.62449312210083
08-03-2000,9.875,10.1875,424200,10.5,10.375,5.693083763122559
09-03-2000,10.25,10.3125,310100,10.8125,10.5,5.761675834655762
10-03-2000,10.0,10.5,168900,10.5,10.25,5.62449312210083
13-03-2000,9.5625,10.0,1767400,10.125,9.75,5.350127696990967
14-03-2000,9.75,9.75,660500,10.125,9.875,5.41871976852417
15-03-2000,9.25,9.875,1231100,9.875,9.625,5.281535625457764
16-03-2000,9.5,9.8125,404100,10.25,9.75,5.350127696990967
