Date,Low,Open,Volume,High,Close,Adjusted Close
11-01-1996,5.625,5.625,336800,5.8125,5.8125,3.3775432109832764
12-01-1996,5.75,5.8125,101200,5.8125,5.8125,3.3775432109832764
15-01-1996,5.75,5.75,24400,5.75,5.75,3.3412246704101562
16-01-1996,5.8125,5.8125,6000,5.875,5.875,3.413860559463501
17-01-1996,5.8125,5.8125,48800,5.8125,5.8125,3.3775432109832764
18-01-1996,5.8125,5.8125,4000,5.8125,5.8125,3.3775432109832764
19-01-1996,5.8125,5.8125,4800,5.875,5.875,3.413860559463501
22-01-1996,5.8125,5.875,96400,5.875,5.8125,3.3775432109832764
23-01-1996,5.75,5.75,2000,5.75,5.75,3.3412246704101562
24-01-1996,5.6875,5.75,8400,5.75,5.6875,3.3049070835113525
25-01-1996,5.5625,5.625,4000,5.625,5.5625,3.2322731018066406
26-01-1996,5.3125,5.4375,150400,5.4375,5.375,3.123319625854492
29-01-1996,5.375,5.375,24400,5.375,5.375,3.123319625854492
30-01-1996,5.1875,5.375,243000,5.4375,5.25,3.0506818294525146
31-01-1996,5.25,5.25,362200,5.3125,5.3125,3.0870015621185303
01-02-1996,5.3125,5.3125,160000,5.4375,5.4375,3.1596367359161377
02-02-1996,5.4375,5.4375,10400,5.5,5.5,3.1959543228149414
05-02-1996,5.3125,5.375,26000,5.375,5.375,3.123319625854492
06-02-1996,5.375,5.375,79000,5.4375,5.375,3.123319625854492
07-02-1996,5.375,5.375,24200,5.4375,5.4375,3.1596367359161377
08-02-1996,5.375,5.375,18200,5.375,5.375,3.123319625854492
09-02-1996,5.3125,5.375,45400,5.4375,5.3125,3.0870015621185303
12-02-1996,5.3125,5.3125,160400,5.375,5.3125,3.0870015621185303
13-02-1996,5.375,5.375,13000,5.375,5.375,3.123319625854492
14-02-1996,5.3125,5.3125,288200,5.3125,5.3125,3.0870015621185303
15-02-1996,5.3125,5.375,32200,5.375,5.3125,3.0870015621185303
16-02-1996,5.25,5.3125,223000,5.3125,5.25,3.0506818294525146
20-02-1996,5.125,5.125,7400,5.125,5.125,2.9780478477478027
21-02-1996,5.125,5.125,13600,5.1875,5.1875,3.0143656730651855
22-02-1996,5.125,5.125,6000,5.125,5.125,2.9780478477478027
23-02-1996,5.0625,5.125,23600,5.125,5.0625,2.9417307376861572
26-02-1996,5.0625,5.0625,112200,5.0625,5.0625,2.9417307376861572
27-02-1996,5.0,5.0625,75800,5.0625,5.0,2.905411958694458
28-02-1996,5.0625,5.0625,72200,5.0625,5.0625,2.9417307376861572
29-02-1996,5.0,5.0,55000,5.0,5.0,2.905411958694458
01-03-1996,5.0,5.0,8000,5.0,5.0,2.905411958694458
04-03-1996,5.0,5.0,2000,5.0,5.0,2.905411958694458
05-03-1996,5.0,5.0,142800,5.0625,5.0625,2.9417307376861572
06-03-1996,5.0625,5.0625,119000,5.125,5.125,2.9780478477478027
07-03-1996,4.9375,5.0625,419200,5.0625,4.9375,2.8690953254699707
08-03-1996,4.625,4.8125,317800,4.875,4.625,2.6875059604644775
11-03-1996,4.6875,4.6875,21800,4.75,4.6875,2.723825216293335
12-03-1996,4.6875,4.75,34600,4.75,4.6875,2.723825216293335
13-03-1996,4.75,4.75,19200,4.75,4.75,2.7601428031921387
14-03-1996,4.6875,4.75,161600,4.75,4.75,2.7601428031921387
15-03-1996,4.625,4.75,42400,4.75,4.6875,2.723825216293335
18-03-1996,4.625,4.6875,130800,4.75,4.625,2.6875059604644775
19-03-1996,4.5625,4.625,151000,4.625,4.5625,2.6511895656585693
20-03-1996,4.5625,4.5625,200000,4.6875,4.6875,2.723825216293335
21-03-1996,4.6875,4.6875,70200,4.875,4.875,2.8327770233154297
22-03-1996,4.8125,4.8125,422400,4.9375,4.875,2.8327770233154297
25-03-1996,4.875,4.9375,3200,4.9375,4.875,2.8327770233154297
26-03-1996,4.75,4.875,22000,4.875,4.75,2.7601428031921387
27-03-1996,4.75,4.75,2800,4.75,4.75,2.7601428031921387
28-03-1996,4.625,4.6875,3200,4.6875,4.625,2.6875059604644775
29-03-1996,4.625,4.625,5000,4.625,4.625,2.6875059604644775
01-04-1996,4.625,4.625,400,4.625,4.625,2.6875059604644775
02-04-1996,4.6875,4.6875,133400,4.875,4.875,2.8327770233154297
03-04-1996,4.75,4.875,36400,4.875,4.8125,2.7964601516723633
04-04-1996,4.6875,4.8125,12400,4.8125,4.8125,2.7964601516723633
08-04-1996,4.625,4.625,46400,4.75,4.75,2.7601428031921387
09-04-1996,4.75,4.75,23000,4.8125,4.8125,2.7964601516723633
