Date,Low,Open,Volume,High,Close,Adjusted Close
13-02-2009,165.0,165.0,2,165.0,165.0,150.78555297851562
17-02-2009,133.0,148.0,249,148.0,133.0,121.54230499267578
18-02-2009,126.0,126.0,9,126.0,126.0,115.14534759521484
19-02-2009,118.0,123.0,17,123.0,120.0,109.6622314453125
20-02-2009,115.0,115.0,75,115.0,115.0,105.09296417236328
23-02-2009,113.0,113.0,33,113.0,113.0,103.26526641845703
24-02-2009,115.0,116.0,34,118.0,118.0,107.83452606201172
25-02-2009,121.0,121.0,187,121.0,121.0,110.57608795166016
26-02-2009,122.0,124.0,104,124.0,122.0,111.48993682861328
27-02-2009,120.0,120.0,190,121.0,120.0,109.6622314453125
02-03-2009,105.0,113.0,134,113.0,105.0,95.9544448852539
03-03-2009,106.0,109.0,153,109.0,107.0,97.78215026855469
04-03-2009,108.0,118.0,34,120.0,108.0,98.69600677490234
05-03-2009,95.0,105.0,90,105.0,95.0,86.81593322753906
06-03-2009,95.0,95.0,32,95.0,95.0,86.81593322753906
09-03-2009,86.0,87.0,5,87.0,87.0,79.50511932373047
10-03-2009,100.0,107.0,96,109.0,100.0,91.38519287109375
11-03-2009,109.0,109.0,12,110.0,110.0,100.52371215820312
12-03-2009,114.0,114.0,35,118.0,118.0,107.83452606201172
13-03-2009,112.0,120.0,69,121.0,121.0,110.57608795166016
16-03-2009,121.0,121.0,4,121.0,121.0,110.57608795166016
17-03-2009,121.0,121.0,0,121.0,121.0,110.57608795166016
18-03-2009,139.0,139.0,10,158.0,158.0,144.38861083984375
19-03-2009,164.0,164.0,10,167.0,167.0,152.61326599121094
20-03-2009,164.0,164.0,100,164.0,164.0,149.87171936035156
23-03-2009,181.0,181.0,93,182.0,182.0,166.321044921875
24-03-2009,187.0,187.0,5,187.0,187.0,170.89031982421875
25-03-2009,187.0,187.0,0,187.0,187.0,170.89031982421875
26-03-2009,187.0,187.0,0,187.0,187.0,170.89031982421875
27-03-2009,170.0,179.0,16,179.0,170.0,155.35482788085938
30-03-2009,162.0,162.0,4,162.0,162.0,148.0440216064453
31-03-2009,157.0,157.0,1,157.0,157.0,143.47474670410156
01-04-2009,170.0,170.0,24,170.0,170.0,155.35482788085938
02-04-2009,180.0,180.0,407,189.0,185.0,169.06260681152344
03-04-2009,197.0,198.0,171,201.0,199.0,181.8565216064453
06-04-2009,196.0,196.0,15,196.0,196.0,179.114990234375
07-04-2009,200.0,200.0,10,205.0,205.0,187.33963012695312
08-04-2009,206.0,206.0,35,207.0,206.0,188.2534942626953
09-04-2009,206.0,206.0,0,206.0,206.0,188.2534942626953
13-04-2009,220.0,220.0,9,220.0,220.0,201.04742431640625
14-04-2009,225.0,225.0,2,225.0,225.0,205.61668395996094
15-04-2009,228.0,228.0,3,228.0,228.0,208.35824584960938
16-04-2009,235.0,235.0,21,240.0,238.0,217.4967498779297
17-04-2009,238.0,238.0,0,238.0,238.0,217.4967498779297
20-04-2009,238.0,238.0,0,238.0,238.0,217.4967498779297
21-04-2009,215.0,215.0,20,215.0,215.0,196.47816467285156
22-04-2009,215.0,215.0,0,215.0,215.0,196.47816467285156
23-04-2009,229.0,230.0,19,230.0,229.0,209.2720947265625
24-04-2009,235.0,235.0,22,235.0,235.0,214.7552032470703
27-04-2009,240.0,240.0,20,240.0,240.0,219.324462890625
28-04-2009,235.0,235.0,8,235.0,235.0,214.7552032470703
29-04-2009,235.0,235.0,0,235.0,235.0,214.7552032470703
30-04-2009,235.0,235.0,0,235.0,235.0,214.7552032470703
01-05-2009,235.0,235.0,0,235.0,235.0,214.7552032470703
04-05-2009,258.0,258.0,25,258.0,258.0,235.77378845214844
05-05-2009,251.0,255.0,22,255.0,251.0,229.3768310546875
06-05-2009,275.0,275.0,39,276.0,276.0,252.22314453125
07-05-2009,260.0,260.0,9,260.0,260.0,237.60150146484375
08-05-2009,278.0,280.0,58,282.0,278.0,254.0508575439453
11-05-2009,278.0,278.0,0,278.0,278.0,254.0508575439453
12-05-2009,278.0,278.0,0,278.0,278.0,254.0508575439453
13-05-2009,255.0,255.0,15,255.0,255.0,233.0322265625
14-05-2009,250.0,250.0,5,250.0,250.0,228.46299743652344
15-05-2009,246.0,246.0,7,246.0,246.0,224.80758666992188
18-05-2009,235.0,235.0,49,235.0,235.0,214.7552032470703
19-05-2009,245.0,245.0,10,245.0,245.0,223.8937225341797
20-05-2009,255.0,255.0,8,255.0,255.0,233.0322265625
21-05-2009,255.0,255.0,0,255.0,255.0,233.0322265625
22-05-2009,250.0,250.0,28,250.0,250.0,228.46299743652344
26-05-2009,250.0,250.0,7,250.0,250.0,228.46299743652344
27-05-2009,252.0,252.0,126,252.0,252.0,230.2906951904297
28-05-2009,250.0,250.0,19,256.0,256.0,233.94610595703125
29-05-2009,255.0,255.0,17,255.0,255.0,233.0322265625
01-06-2009,260.0,260.0,42,274.0,265.0,242.17076110839844
