Date,Low,Open,Volume,High,Close,Adjusted Close
08-04-1994,47.0,47.0,300,47.0,47.0,10.435007095336914
11-04-1994,47.0,47.0,0,47.0,47.0,10.435007095336914
12-04-1994,47.0,47.0,0,47.0,47.0,10.435007095336914
13-04-1994,47.0,47.0,0,47.0,47.0,10.435007095336914
14-04-1994,47.0,47.0,0,47.0,47.0,10.435007095336914
15-04-1994,47.0,47.0,0,47.0,47.0,10.435007095336914
18-04-1994,47.0,47.0,0,47.0,47.0,10.435007095336914
19-04-1994,47.0,47.0,0,47.0,47.0,10.435007095336914
20-04-1994,47.0,47.0,0,47.0,47.0,10.435007095336914
21-04-1994,47.0,47.0,0,47.0,47.0,10.435007095336914
22-04-1994,46.5,46.5,1300,46.5,46.5,10.323999404907227
25-04-1994,46.5,46.5,0,46.5,46.5,10.323999404907227
26-04-1994,46.5,46.5,0,46.5,46.5,10.323999404907227
28-04-1994,46.5,46.5,0,46.5,46.5,10.323999404907227
29-04-1994,46.5,46.5,0,46.5,46.5,10.323999404907227
02-05-1994,46.5,46.5,0,46.5,46.5,10.323999404907227
03-05-1994,46.5,46.5,0,46.5,46.5,10.527763366699219
04-05-1994,48.0,48.0,100,48.0,48.0,10.8673677444458
05-05-1994,47.75,47.75,200,47.75,47.75,10.810770034790039
06-05-1994,47.75,47.75,0,47.75,47.75,10.810770034790039
09-05-1994,47.75,47.75,0,47.75,47.75,10.810770034790039
10-05-1994,46.5,46.5,300,46.5,46.5,10.527763366699219
11-05-1994,46.5,46.5,0,46.5,46.5,10.527763366699219
12-05-1994,46.5,46.5,0,46.5,46.5,10.527763366699219
13-05-1994,45.5,45.5,400,46.5,45.5,10.301359176635742
16-05-1994,46.0,46.0,100,46.0,46.0,10.41456413269043
17-05-1994,46.0,46.0,0,46.0,46.0,10.41456413269043
18-05-1994,46.0,46.0,0,46.0,46.0,10.41456413269043
19-05-1994,46.0,46.0,0,46.0,46.0,10.41456413269043
20-05-1994,46.25,46.25,200,46.25,46.25,10.471163749694824
23-05-1994,46.25,46.25,0,46.25,46.25,10.471163749694824
24-05-1994,46.25,46.25,0,46.25,46.25,10.471163749694824
25-05-1994,49.5,49.5,100,49.5,49.5,11.206974983215332
26-05-1994,46.5,46.5,800,49.5,49.5,11.206974983215332
27-05-1994,49.5,49.5,0,49.5,49.5,11.206974983215332
31-05-1994,49.5,49.5,0,49.5,49.5,11.206974983215332
01-06-1994,46.0,46.0,2000,46.5,46.5,10.527763366699219
02-06-1994,45.5,45.5,400,46.5,46.5,10.527763366699219
03-06-1994,46.5,46.5,0,46.5,46.5,10.527763366699219
06-06-1994,48.0,48.0,400,48.0,48.0,10.8673677444458
07-06-1994,45.296875,48.0,200,48.0,45.296875,10.255370140075684
08-06-1994,46.0,46.0,100,46.0,46.0,10.41456413269043
09-06-1994,46.0,46.0,0,46.0,46.0,10.41456413269043
10-06-1994,46.0,46.0,0,46.0,46.0,10.41456413269043
13-06-1994,46.0,46.0,0,46.0,46.0,10.41456413269043
14-06-1994,46.0,46.0,0,46.0,46.0,10.41456413269043
15-06-1994,46.0,46.0,0,46.0,46.0,10.41456413269043
16-06-1994,46.0,46.0,400,47.375,47.375,10.72586441040039
17-06-1994,47.375,47.375,0,47.375,47.375,10.72586441040039
20-06-1994,47.375,47.375,0,47.375,47.375,10.72586441040039
21-06-1994,47.375,47.375,0,47.375,47.375,10.72586441040039
22-06-1994,47.375,47.375,0,47.375,47.375,10.72586441040039
23-06-1994,46.125,46.125,700,46.125,46.125,10.442861557006836
24-06-1994,46.625,46.625,700,46.625,46.625,10.556061744689941
27-06-1994,45.75,45.75,100,45.75,45.75,10.35795783996582
28-06-1994,45.75,45.75,0,45.75,45.75,10.35795783996582
29-06-1994,47.703125,47.703125,100,47.703125,47.703125,10.800151824951172
30-06-1994,47.703125,47.703125,0,47.703125,47.703125,10.800151824951172
01-07-1994,47.703125,47.703125,0,47.703125,47.703125,10.800151824951172
05-07-1994,47.703125,47.703125,0,47.703125,47.703125,10.800151824951172
06-07-1994,47.703125,47.703125,0,47.703125,47.703125,10.800151824951172
07-07-1994,47.703125,47.703125,0,47.703125,47.703125,10.800151824951172
08-07-1994,47.703125,47.703125,0,47.703125,47.703125,10.800151824951172
