Date,Low,Open,Volume,High,Close,Adjusted Close
17-11-1975,7.5,0.0,1300,7.5,7.5,2.4378573894500732
18-11-1975,7.5,0.0,200,7.5,7.5,2.4378573894500732
19-11-1975,7.5,0.0,1100,7.5,7.5,2.4378573894500732
20-11-1975,7.5,0.0,900,7.5,7.5,2.4378573894500732
21-11-1975,7.5,0.0,400,7.5,7.5,2.4378573894500732
24-11-1975,7.5,0.0,2700,7.5,7.5,2.4378573894500732
25-11-1975,7.5,0.0,5100,7.5,7.5,2.4378573894500732
26-11-1975,7.5,0.0,900,7.5,7.5,2.4378573894500732
28-11-1975,7.5,0.0,800,7.5,7.5,2.4378573894500732
01-12-1975,7.375,0.0,15400,7.375,7.375,2.397226333618164
02-12-1975,7.375,0.0,8200,7.375,7.375,2.397226333618164
03-12-1975,7.375,0.0,6300,7.375,7.375,2.397226333618164
04-12-1975,7.375,0.0,400,7.375,7.375,2.397226333618164
05-12-1975,7.375,0.0,3100,7.375,7.375,2.397226333618164
08-12-1975,7.375,0.0,2600,7.375,7.375,2.397226333618164
09-12-1975,7.375,0.0,11200,7.375,7.375,2.397226333618164
10-12-1975,7.375,0.0,1800,7.375,7.375,2.397226333618164
11-12-1975,7.375,0.0,700,7.375,7.375,2.397226333618164
12-12-1975,7.375,0.0,1100,7.375,7.375,2.397226333618164
15-12-1975,7.375,0.0,5000,7.375,7.375,2.397226333618164
16-12-1975,7.5,0.0,3100,7.5,7.5,2.4378573894500732
17-12-1975,7.375,0.0,1200,7.375,7.375,2.397226333618164
18-12-1975,7.375,0.0,4600,7.375,7.375,2.397226333618164
19-12-1975,7.25,0.0,1300,7.25,7.25,2.356595277786255
22-12-1975,7.25,0.0,1200,7.25,7.25,2.356595277786255
23-12-1975,7.25,0.0,9100,7.25,7.25,2.356595277786255
24-12-1975,7.25,7.25,0,7.25,7.25,2.356595277786255
26-12-1975,7.25,0.0,1900,7.25,7.25,2.356595277786255
29-12-1975,7.25,0.0,8700,7.25,7.25,2.356595277786255
30-12-1975,7.125,0.0,200,7.125,7.125,2.315965414047241
31-12-1975,7.125,0.0,3400,7.125,7.125,2.315965414047241
02-01-1976,7.125,0.0,700,7.125,7.125,2.315965414047241
05-01-1976,7.125,0.0,600,7.125,7.125,2.315965414047241
06-01-1976,7.125,7.125,0,7.125,7.125,2.315965414047241
07-01-1976,7.25,0.0,2000,7.25,7.25,2.356595277786255
08-01-1976,7.25,0.0,600,7.25,7.25,2.356595277786255
09-01-1976,7.25,0.0,100,7.25,7.25,2.356595277786255
12-01-1976,7.375,0.0,7000,7.375,7.375,2.397226333618164
13-01-1976,7.5,0.0,1400,7.5,7.5,2.4378573894500732
14-01-1976,7.375,0.0,2000,7.375,7.375,2.397226333618164
15-01-1976,7.375,0.0,800,7.375,7.375,2.397226333618164
16-01-1976,7.375,0.0,2100,7.375,7.375,2.397226333618164
19-01-1976,7.375,0.0,900,7.375,7.375,2.397226333618164
20-01-1976,7.375,0.0,2700,7.375,7.375,2.397226333618164
21-01-1976,7.5,0.0,10300,7.5,7.5,2.4378573894500732
22-01-1976,7.5,0.0,6700,7.5,7.5,2.4378573894500732
23-01-1976,7.5,0.0,2700,7.5,7.5,2.4378573894500732
26-01-1976,7.5,0.0,8000,7.5,7.5,2.4378573894500732
27-01-1976,7.5,0.0,4100,7.5,7.5,2.4378573894500732
28-01-1976,7.625,0.0,900,7.625,7.625,2.478489398956299
29-01-1976,8.25,0.0,8800,8.625,8.25,2.6816439628601074
30-01-1976,8.25,0.0,3900,8.625,8.25,2.6816439628601074
02-02-1976,9.125,0.0,9100,9.5,9.125,2.966059923171997
03-02-1976,9.375,0.0,19900,9.75,9.375,3.0473217964172363
04-02-1976,9.375,0.0,10000,9.75,9.375,3.0473217964172363
05-02-1976,9.5,0.0,16300,9.875,9.5,3.087953567504883
06-02-1976,9.25,0.0,6300,9.625,9.25,3.006690740585327
09-02-1976,9.125,0.0,2900,9.5,9.125,2.966059923171997
10-02-1976,9.0,0.0,1700,9.375,9.0,2.925428628921509
11-02-1976,8.875,0.0,3200,9.25,8.875,2.8847978115081787
12-02-1976,8.875,0.0,3000,9.25,8.875,2.8847978115081787
13-02-1976,9.0,0.0,8400,9.375,9.0,2.925428628921509
17-02-1976,9.25,0.0,7200,9.625,9.25,3.006690740585327
18-02-1976,9.25,0.0,1100,9.625,9.25,3.006690740585327
19-02-1976,9.625,0.0,8300,10.0,9.625,3.128584623336792
20-02-1976,10.625,0.0,15700,11.0,10.625,3.4536333084106445
23-02-1976,11.0,0.0,27600,11.375,11.0,3.57552433013916
24-02-1976,11.625,0.0,23200,12.0,11.625,3.7786805629730225
25-02-1976,11.875,0.0,22700,12.25,11.875,3.8599436283111572
26-02-1976,11.625,0.0,29200,12.0,11.625,3.7786805629730225
27-02-1976,10.625,0.0,20900,11.0,10.625,3.4536333084106445
01-03-1976,11.25,0.0,11400,11.625,11.25,3.656787872314453
02-03-1976,11.75,0.0,25900,12.125,11.75,3.819312334060669
03-03-1976,11.625,0.0,12400,12.0,11.625,3.7786805629730225
04-03-1976,11.625,0.0,14200,12.0,11.625,3.7786805629730225
05-03-1976,11.625,0.0,4900,12.0,11.625,3.7786805629730225
08-03-1976,11.625,0.0,4300,12.0,11.625,3.7786805629730225
09-03-1976,11.75,0.0,4400,12.125,11.75,3.819312334060669
10-03-1976,11.375,0.0,12800,11.75,11.375,3.697418451309204
11-03-1976,11.375,0.0,3400,11.75,11.375,3.697418451309204
12-03-1976,11.25,0.0,1600,11.625,11.25,3.656787872314453
15-03-1976,10.75,0.0,4000,11.125,10.75,3.4942612648010254
16-03-1976,11.375,0.0,7900,11.75,11.375,3.697418451309204
17-03-1976,11.375,0.0,10000,11.75,11.375,3.697418451309204
18-03-1976,11.25,0.0,12700,11.625,11.25,3.656787872314453
19-03-1976,11.25,0.0,6700,11.625,11.25,3.656787872314453
22-03-1976,11.125,0.0,5900,11.5,11.125,3.616154909133911
23-03-1976,11.0,0.0,3500,11.375,11.0,3.57552433013916
24-03-1976,11.0,0.0,4900,11.375,11.0,3.57552433013916
25-03-1976,11.625,0.0,22600,12.0,11.625,3.7786805629730225
26-03-1976,12.5,0.0,39800,12.875,12.5,4.063094615936279
29-03-1976,12.875,0.0,20600,13.25,12.875,4.184989929199219
30-03-1976,13.125,0.0,49700,13.5,13.125,4.266249656677246
31-03-1976,13.25,0.0,21000,13.625,13.25,4.306881904602051
01-04-1976,12.75,0.0,8100,13.125,12.75,4.144359111785889
02-04-1976,12.625,0.0,7800,13.0,12.625,4.103726863861084
05-04-1976,12.625,0.0,1100,13.0,12.625,4.103726863861084
06-04-1976,12.5,0.0,1900,12.875,12.5,4.063094615936279
07-04-1976,11.75,0.0,3100,12.125,11.75,3.819312334060669
08-04-1976,11.625,0.0,3000,12.0,11.625,3.7786805629730225
09-04-1976,11.25,0.0,8600,11.625,11.25,3.656787872314453
12-04-1976,11.25,0.0,1200,11.625,11.25,3.656787872314453
13-04-1976,10.5,0.0,5800,10.875,10.5,3.4130008220672607
14-04-1976,10.625,0.0,4200,11.0,10.625,3.4536333084106445
15-04-1976,10.375,0.0,2000,10.75,10.375,3.372368812561035
19-04-1976,10.375,10.375,0,10.375,10.375,3.372368812561035
20-04-1976,10.25,0.0,2700,10.625,10.25,3.3317394256591797
21-04-1976,10.125,0.0,1600,10.5,10.125,3.291107416152954
22-04-1976,10.125,0.0,100,10.5,10.125,3.291107416152954
23-04-1976,9.375,0.0,7600,9.875,9.375,3.0473217964172363
26-04-1976,9.5,0.0,700,10.0,9.5,3.087953567504883
27-04-1976,9.5,0.0,200,10.0,9.5,3.087953567504883
28-04-1976,9.5,0.0,2000,10.0,9.5,3.087953567504883
29-04-1976,9.5,0.0,200,10.0,9.5,3.087953567504883
30-04-1976,9.5,0.0,800,10.0,9.5,3.087953567504883
03-05-1976,9.5,9.5,0,9.5,9.5,3.087953567504883
04-05-1976,9.375,0.0,1700,9.875,9.375,3.0473217964172363
05-05-1976,8.875,0.0,4000,9.375,8.875,2.8847978115081787
06-05-1976,8.75,0.0,1800,9.25,8.75,2.844168186187744
07-05-1976,8.75,0.0,1300,9.25,8.75,2.844168186187744
10-05-1976,8.75,0.0,3000,9.25,8.75,2.844168186187744
11-05-1976,8.5,0.0,2500,9.0,8.5,2.762906074523926
12-05-1976,8.5,0.0,300,9.0,8.5,2.762906074523926
13-05-1976,8.5,0.0,100,9.0,8.5,2.762906074523926
14-05-1976,8.0,0.0,3500,8.5,8.0,2.6003801822662354
17-05-1976,8.0,0.0,800,8.5,8.0,2.6003801822662354
18-05-1976,8.375,0.0,2700,8.75,8.375,2.7222750186920166
19-05-1976,8.75,0.0,2500,9.125,8.75,2.844168186187744
20-05-1976,8.75,0.0,2100,9.125,8.75,2.844168186187744
21-05-1976,8.75,0.0,100,9.125,8.75,2.844168186187744
24-05-1976,8.75,0.0,300,9.125,8.75,2.844168186187744
25-05-1976,8.75,0.0,1200,9.125,8.75,2.844168186187744
26-05-1976,8.5,0.0,2000,8.875,8.5,2.762906074523926
27-05-1976,8.375,0.0,2000,8.75,8.375,2.7222750186920166
28-05-1976,8.375,8.375,0,8.375,8.375,2.7222750186920166
01-06-1976,8.25,0.0,700,8.625,8.25,2.6816439628601074
02-06-1976,8.25,0.0,1600,8.75,8.25,2.6816439628601074
03-06-1976,8.25,0.0,100,8.75,8.25,2.6816439628601074
04-06-1976,8.25,0.0,2300,8.75,8.25,2.6816439628601074
07-06-1976,8.375,0.0,2600,8.875,8.375,2.7222750186920166
08-06-1976,8.5,0.0,1400,9.0,8.5,2.762906074523926
09-06-1976,8.875,0.0,8500,9.375,8.875,2.8847978115081787
10-06-1976,9.375,0.0,5000,9.875,9.375,3.0473217964172363
11-06-1976,9.375,0.0,100,9.875,9.375,3.0473217964172363
14-06-1976,9.25,0.0,3500,9.75,9.25,3.006690740585327
15-06-1976,9.0,0.0,4300,9.5,9.0,2.925428628921509
16-06-1976,9.0,0.0,3200,9.5,9.0,2.925428628921509
17-06-1976,9.0,0.0,600,9.5,9.0,2.925428628921509
18-06-1976,9.0,0.0,3700,9.5,9.0,2.925428628921509
21-06-1976,9.0,0.0,1200,9.375,9.0,2.925428628921509
22-06-1976,9.0,0.0,100,9.375,9.0,2.925428628921509
23-06-1976,9.0,0.0,100,9.375,9.0,2.925428628921509
24-06-1976,9.0,0.0,200,9.375,9.0,2.925428628921509
25-06-1976,9.0,0.0,300,9.375,9.0,2.925428628921509
28-06-1976,9.0,0.0,1300,9.375,9.0,2.925428628921509
29-06-1976,9.0,0.0,1000,9.375,9.0,2.925428628921509
30-06-1976,9.125,0.0,3000,9.5,9.125,2.966059923171997
01-07-1976,9.375,0.0,5600,9.75,9.375,3.0473217964172363
02-07-1976,9.5,0.0,3200,9.875,9.5,3.087953567504883
06-07-1976,9.5,9.5,0,9.5,9.5,3.087953567504883
07-07-1976,9.5,0.0,6800,9.875,9.5,3.087953567504883
08-07-1976,9.5,0.0,3000,9.875,9.5,3.087953567504883
09-07-1976,9.5,0.0,100,9.875,9.5,3.087953567504883
12-07-1976,9.5,0.0,2200,9.875,9.5,3.087953567504883
13-07-1976,9.5,0.0,1500,9.875,9.5,3.087953567504883
14-07-1976,9.5,0.0,2100,9.875,9.5,3.087953567504883
15-07-1976,9.5,0.0,2600,9.875,9.5,3.087953567504883
16-07-1976,9.625,0.0,2700,10.0,9.625,3.128584623336792
19-07-1976,9.625,0.0,1100,10.0,9.625,3.128584623336792
20-07-1976,9.625,0.0,5000,10.0,9.625,3.128584623336792
21-07-1976,9.625,9.625,0,9.625,9.625,3.128584623336792
22-07-1976,9.75,0.0,100,10.125,9.75,3.1692159175872803
23-07-1976,9.75,0.0,1200,10.125,9.75,3.1692159175872803
26-07-1976,9.75,0.0,400,10.125,9.75,3.1692159175872803
27-07-1976,9.75,9.75,0,9.75,9.75,3.1692159175872803
28-07-1976,9.625,0.0,200,10.0,9.625,3.128584623336792
29-07-1976,9.625,0.0,4100,10.0,9.625,3.128584623336792
30-07-1976,9.625,0.0,3500,10.0,9.625,3.128584623336792
02-08-1976,9.625,0.0,3300,10.0,9.625,3.128584623336792
03-08-1976,9.625,0.0,1300,10.0,9.625,3.128584623336792
04-08-1976,9.625,0.0,11400,10.0,9.625,3.128584623336792
05-08-1976,9.75,0.0,11400,10.125,9.75,3.1692159175872803
06-08-1976,9.75,0.0,5900,10.125,9.75,3.1692159175872803
09-08-1976,9.75,0.0,700,10.125,9.75,3.1692159175872803
10-08-1976,9.875,0.0,5500,10.25,9.875,3.2098472118377686
11-08-1976,9.875,9.875,0,9.875,9.875,3.2098472118377686
12-08-1976,9.75,0.0,4100,10.125,9.75,3.1692159175872803
13-08-1976,9.75,0.0,800,10.125,9.75,3.1692159175872803
16-08-1976,9.5,0.0,4500,9.875,9.5,3.087953567504883
17-08-1976,9.625,0.0,200,10.0,9.625,3.128584623336792
18-08-1976,9.625,0.0,700,10.0,9.625,3.128584623336792
19-08-1976,9.5,0.0,5400,9.875,9.5,3.087953567504883
20-08-1976,9.5,0.0,3000,9.875,9.5,3.087953567504883
23-08-1976,9.5,0.0,5000,9.875,9.5,3.087953567504883
24-08-1976,9.5,0.0,200,9.875,9.5,3.087953567504883
25-08-1976,9.5,0.0,100,9.875,9.5,3.087953567504883
26-08-1976,9.5,9.5,0,9.5,9.5,3.087953567504883
27-08-1976,9.5,0.0,2300,9.875,9.5,3.087953567504883
30-08-1976,9.5,9.5,0,9.5,9.5,3.087953567504883
31-08-1976,9.75,0.0,10900,10.125,9.75,3.1692159175872803
01-09-1976,9.875,0.0,4200,10.25,9.875,3.2098472118377686
02-09-1976,9.875,0.0,2600,10.25,9.875,3.2098472118377686
03-09-1976,9.875,0.0,100,10.25,9.875,3.2098472118377686
07-09-1976,9.875,0.0,700,10.25,9.875,3.2098472118377686
08-09-1976,9.75,0.0,3800,10.125,9.75,3.1692159175872803
09-09-1976,9.75,0.0,6100,10.125,9.75,3.1692159175872803
10-09-1976,9.75,9.75,0,9.75,9.75,3.1692159175872803
13-09-1976,9.75,0.0,800,10.125,9.75,3.1692159175872803
14-09-1976,9.75,0.0,200,10.125,9.75,3.1692159175872803
15-09-1976,9.75,0.0,3000,10.125,9.75,3.1692159175872803
16-09-1976,9.75,0.0,100,10.125,9.75,3.1692159175872803
17-09-1976,9.75,0.0,9000,10.125,9.75,3.1692159175872803
20-09-1976,9.75,0.0,700,10.125,9.75,3.1692159175872803
21-09-1976,9.875,0.0,6800,10.25,9.875,3.2098472118377686
22-09-1976,10.125,0.0,5400,10.5,10.125,3.291107416152954
23-09-1976,10.375,0.0,3100,10.75,10.375,3.372368812561035
24-09-1976,10.5,0.0,1200,10.875,10.5,3.4130008220672607
27-09-1976,10.5,0.0,1800,10.875,10.5,3.4130008220672607
28-09-1976,10.625,0.0,3100,11.0,10.625,3.4536333084106445
29-09-1976,10.75,0.0,2600,11.125,10.75,3.4942612648010254
30-09-1976,10.75,0.0,11100,11.125,10.75,3.4942612648010254
01-10-1976,10.625,0.0,2400,11.0,10.625,3.4536333084106445
04-10-1976,10.625,0.0,17900,11.0,10.625,3.4536333084106445
05-10-1976,10.625,0.0,5900,11.0,10.625,3.4536333084106445
06-10-1976,10.375,0.0,6300,10.75,10.375,3.372368812561035
07-10-1976,10.375,0.0,8200,10.75,10.375,3.372368812561035
08-10-1976,10.375,0.0,7700,10.75,10.375,3.372368812561035
11-10-1976,10.375,0.0,1300,10.75,10.375,3.372368812561035
12-10-1976,10.375,0.0,800,10.75,10.375,3.372368812561035
13-10-1976,10.375,0.0,12400,10.75,10.375,3.372368812561035
14-10-1976,10.375,10.375,0,10.375,10.375,3.372368812561035
15-10-1976,10.25,0.0,100,10.625,10.25,3.3317394256591797
18-10-1976,10.25,0.0,2900,10.625,10.25,3.3317394256591797
19-10-1976,10.25,10.25,0,10.25,10.25,3.3317394256591797
20-10-1976,10.125,0.0,4900,10.5,10.125,3.291107416152954
21-10-1976,10.125,0.0,800,10.5,10.125,3.291107416152954
22-10-1976,10.125,0.0,3500,10.5,10.125,3.291107416152954
25-10-1976,10.125,0.0,400,10.5,10.125,3.291107416152954
26-10-1976,10.125,0.0,2100,10.5,10.125,3.291107416152954
27-10-1976,10.125,0.0,7100,10.5,10.125,3.291107416152954
28-10-1976,10.125,0.0,700,10.5,10.125,3.291107416152954
29-10-1976,10.125,10.125,0,10.125,10.125,3.291107416152954
01-11-1976,10.0,0.0,400,10.375,10.0,3.2504777908325195
03-11-1976,10.0,0.0,600,10.375,10.0,3.2504777908325195
04-11-1976,10.125,0.0,1700,10.5,10.125,3.291107416152954
05-11-1976,10.125,0.0,300,10.5,10.125,3.291107416152954
08-11-1976,10.125,0.0,1000,10.5,10.125,3.291107416152954
09-11-1976,10.0,0.0,5000,10.375,10.0,3.2504777908325195
10-11-1976,10.0,0.0,5200,10.375,10.0,3.2504777908325195
11-11-1976,10.0,0.0,300,10.375,10.0,3.2504777908325195
12-11-1976,10.0,0.0,1800,10.375,10.0,3.2504777908325195
15-11-1976,10.0,0.0,6000,10.375,10.0,3.2504777908325195
16-11-1976,10.5,0.0,4200,10.875,10.5,3.4130008220672607
17-11-1976,10.625,0.0,3600,11.0,10.625,3.4536333084106445
18-11-1976,11.0,0.0,11500,11.375,11.0,3.57552433013916
19-11-1976,11.0,0.0,9500,11.375,11.0,3.57552433013916
22-11-1976,11.125,0.0,3400,11.5,11.125,3.616154909133911
23-11-1976,11.25,0.0,4400,11.625,11.25,3.656787872314453
24-11-1976,11.25,0.0,200,11.625,11.25,3.656787872314453
26-11-1976,11.25,0.0,2600,11.625,11.25,3.656787872314453
29-11-1976,11.25,0.0,2200,11.625,11.25,3.656787872314453
30-11-1976,11.125,0.0,12700,11.5,11.125,3.616154909133911
01-12-1976,11.0,0.0,1000,11.375,11.0,3.57552433013916
02-12-1976,11.125,0.0,7600,11.5,11.125,3.616154909133911
03-12-1976,11.25,0.0,6200,11.625,11.25,3.656787872314453
06-12-1976,11.25,0.0,300,11.625,11.25,3.656787872314453
07-12-1976,11.25,0.0,5000,11.625,11.25,3.656787872314453
08-12-1976,11.25,0.0,700,11.625,11.25,3.656787872314453
09-12-1976,11.25,0.0,900,11.625,11.25,3.656787872314453
10-12-1976,11.25,0.0,500,11.625,11.25,3.656787872314453
13-12-1976,11.0,0.0,4200,11.375,11.0,3.57552433013916
14-12-1976,11.0,0.0,1200,11.375,11.0,3.57552433013916
15-12-1976,10.875,0.0,600,11.25,10.875,3.534893035888672
16-12-1976,10.75,0.0,3800,11.125,10.75,3.4942612648010254
17-12-1976,10.75,0.0,8000,11.125,10.75,3.4942612648010254
20-12-1976,10.625,0.0,2800,11.0,10.625,3.4536333084106445
21-12-1976,10.625,0.0,6200,11.0,10.625,3.4536333084106445
22-12-1976,10.625,0.0,3300,11.0,10.625,3.4536333084106445
23-12-1976,10.625,0.0,800,11.0,10.625,3.4536333084106445
27-12-1976,10.625,0.0,600,11.0,10.625,3.4536333084106445
28-12-1976,11.0,0.0,13000,11.375,11.0,3.57552433013916
29-12-1976,11.125,0.0,11900,11.5,11.125,3.616154909133911
30-12-1976,11.25,0.0,7000,11.625,11.25,3.656787872314453
31-12-1976,11.25,0.0,2600,11.625,11.25,3.656787872314453
03-01-1977,11.125,0.0,3100,11.5,11.125,3.616154909133911
04-01-1977,11.0,0.0,3200,11.375,11.0,3.57552433013916
05-01-1977,10.875,0.0,2100,11.25,10.875,3.534893035888672
06-01-1977,10.875,0.0,700,11.25,10.875,3.534893035888672
07-01-1977,10.75,0.0,3300,11.125,10.75,3.4942612648010254
10-01-1977,10.75,0.0,100,11.125,10.75,3.4942612648010254
11-01-1977,10.625,0.0,1500,11.0,10.625,3.4536333084106445
12-01-1977,10.5,0.0,3400,10.875,10.5,3.4130008220672607
13-01-1977,10.5,0.0,1200,10.875,10.5,3.4130008220672607
14-01-1977,10.5,0.0,1500,10.875,10.5,3.4130008220672607
17-01-1977,10.5,0.0,100,10.875,10.5,3.4130008220672607
18-01-1977,10.5,0.0,200,10.875,10.5,3.4130008220672607
19-01-1977,10.5,0.0,1000,10.875,10.5,3.4130008220672607
20-01-1977,10.375,0.0,2900,10.75,10.375,3.372368812561035
21-01-1977,10.375,0.0,100,10.75,10.375,3.372368812561035
24-01-1977,10.375,0.0,300,10.75,10.375,3.372368812561035
25-01-1977,10.375,0.0,600,10.75,10.375,3.372368812561035
26-01-1977,10.125,0.0,2700,10.5,10.125,3.291107416152954
27-01-1977,10.125,0.0,1100,10.5,10.125,3.291107416152954
28-01-1977,10.125,10.125,0,10.125,10.125,3.291107416152954
31-01-1977,10.125,0.0,1400,10.5,10.125,3.291107416152954
01-02-1977,10.25,0.0,700,10.625,10.25,3.3317394256591797
02-02-1977,10.25,0.0,100,10.625,10.25,3.3317394256591797
03-02-1977,10.125,0.0,4400,10.5,10.125,3.291107416152954
04-02-1977,10.125,0.0,300,10.5,10.125,3.291107416152954
07-02-1977,10.125,0.0,1500,10.5,10.125,3.291107416152954
08-02-1977,10.125,0.0,500,10.5,10.125,3.291107416152954
09-02-1977,10.125,0.0,3400,10.5,10.125,3.291107416152954
