Date,Low,Open,Volume,High,Close,Adjusted Close
27-09-2000,31.875,31.875,100,31.875,31.875,13.285419464111328
28-09-2000,30.625,31.875,380,31.875,30.625,12.764420509338379
29-09-2000,30.0,31.25,440,31.25,30.0,12.50391960144043
02-10-2000,29.375,29.375,400,30.625,30.625,12.764420509338379
03-10-2000,30.0,30.0,80,30.0,30.0,12.50391960144043
04-10-2000,27.5,29.375,500,29.375,27.5,11.461929321289062
05-10-2000,25.0,27.5,1460,27.5,25.0,10.41993522644043
06-10-2000,25.625,25.625,220,26.25,26.25,10.940935134887695
09-10-2000,24.375,25.625,540,25.625,25.0,10.41993522644043
10-10-2000,19.6875,24.375,3580,24.375,20.0,8.335946083068848
11-10-2000,16.875,21.875,4500,21.875,16.875,7.033456325531006
12-10-2000,17.5,17.5,2400,18.75,17.5,7.293955326080322
13-10-2000,18.125,18.125,1580,20.0,19.375,8.075450897216797
16-10-2000,19.375,19.375,0,19.375,19.375,8.075450897216797
17-10-2000,16.875,19.0625,800,19.0625,16.875,7.033456325531006
18-10-2000,17.5,18.125,1900,19.375,18.125,7.554452896118164
19-10-2000,18.125,18.125,6140,21.5625,20.625,8.596445083618164
20-10-2000,20.0,20.625,1200,21.875,20.625,8.596445083618164
23-10-2000,21.25,21.875,560,21.875,21.875,9.117444038391113
24-10-2000,21.875,21.875,940,24.375,23.75,9.89893913269043
25-10-2000,22.5,23.75,220,23.75,22.5,9.37794017791748
26-10-2000,22.1875,22.1875,20,22.1875,22.1875,9.247693061828613
27-10-2000,22.1875,22.1875,0,22.1875,22.1875,9.247693061828613
30-10-2000,20.625,22.5,920,22.5,20.625,8.596445083618164
31-10-2000,18.75,21.25,1120,21.25,19.375,8.075450897216797
01-11-2000,18.125,18.75,2380,18.75,18.125,7.554452896118164
02-11-2000,18.125,18.125,1020,21.25,21.25,8.85694694519043
03-11-2000,21.25,21.25,280,21.875,21.875,9.117444038391113
06-11-2000,21.875,21.875,0,21.875,21.875,9.117444038391113
07-11-2000,22.5,22.5,140,22.5,22.5,9.37794017791748
08-11-2000,22.5,22.5,160,23.75,23.75,9.89893913269043
09-11-2000,24.375,24.375,100,24.375,24.375,10.159439086914062
10-11-2000,23.75,24.375,560,24.375,24.375,10.159439086914062
13-11-2000,24.375,24.375,520,24.375,24.375,10.159439086914062
14-11-2000,25.0,25.0,500,25.0,25.0,10.41993522644043
15-11-2000,26.25,26.25,300,28.125,28.125,11.722427368164062
16-11-2000,27.5,27.5,120,28.75,28.75,11.982925415039062
17-11-2000,28.75,28.75,0,28.75,28.75,11.982925415039062
20-11-2000,28.75,28.75,620,28.75,28.75,11.982925415039062
21-11-2000,28.75,29.375,740,30.0,28.75,11.982925415039062
22-11-2000,25.0,28.75,1100,28.75,25.0,10.41993522644043
24-11-2000,25.0,25.0,40,25.0,25.0,10.41993522644043
27-11-2000,26.25,26.25,480,26.25,26.25,10.940935134887695
28-11-2000,25.625,26.25,160,26.25,25.625,10.680434226989746
29-11-2000,25.0,25.0,700,25.0,25.0,10.41993522644043
30-11-2000,24.375,24.375,360,24.6875,24.6875,10.289687156677246
01-12-2000,24.6875,24.6875,40,25.3125,25.3125,10.550185203552246
04-12-2000,25.3125,25.3125,400,25.3125,25.3125,10.550185203552246
05-12-2000,23.75,24.6875,300,24.6875,23.75,9.89893913269043
06-12-2000,23.4375,23.4375,2360,25.3125,25.0,10.41993522644043
07-12-2000,25.0,25.0,120,25.0,25.0,10.41993522644043
08-12-2000,21.25,24.375,3120,24.375,22.5,9.37794017791748
11-12-2000,21.25,21.875,1480,23.125,21.25,8.85694694519043
12-12-2000,18.75,20.625,1700,20.625,18.75,7.814952373504639
13-12-2000,17.5,19.0625,1740,19.375,19.375,8.075450897216797
14-12-2000,18.75,20.0,360,20.0,18.75,7.814952373504639
15-12-2000,16.25,18.125,1340,18.125,17.5,7.293955326080322
18-12-2000,16.25,17.1875,640,17.5,16.875,7.033456325531006
19-12-2000,16.25,17.5,600,17.5,16.25,6.772958278656006
20-12-2000,13.125,15.625,5120,15.625,13.75,5.730964660644531
21-12-2000,13.125,14.375,3220,15.0,13.125,5.470467567443848
22-12-2000,12.5,12.5,1540,15.0,15.0,6.251959800720215
26-12-2000,15.0,15.0,240,15.0,15.0,6.251959800720215
27-12-2000,13.75,15.625,2800,15.625,14.375,5.991462707519531
28-12-2000,12.5,14.375,5900,15.0,15.0,6.251959800720215
