Date,Low,Open,Volume,High,Close,Adjusted Close
15-04-1994,19.0,19.25,549900,19.625,19.5,2.531083822250366
18-04-1994,19.25,19.625,21100,19.625,19.25,2.498634099960327
19-04-1994,19.0,19.25,47600,19.25,19.25,2.498634099960327
20-04-1994,19.0,19.0,11600,19.125,19.125,2.482408046722412
21-04-1994,19.0,19.125,16300,19.125,19.0,2.4661853313446045
22-04-1994,19.0,19.0,13400,19.125,19.0,2.4661853313446045
25-04-1994,19.0,19.0,21700,19.125,19.125,2.482408046722412
26-04-1994,19.0,19.0,22500,19.125,19.0,2.4661853313446045
28-04-1994,19.0,19.125,15300,19.125,19.0,2.4661853313446045
29-04-1994,19.0,19.0,15300,19.125,19.0,2.4661853313446045
02-05-1994,19.0,19.0,12900,19.125,19.0,2.4661853313446045
03-05-1994,19.0,19.125,42800,19.125,19.0,2.4661853313446045
04-05-1994,19.0,19.125,6400,19.125,19.0,2.4661853313446045
05-05-1994,19.0,19.0,13900,19.125,19.125,2.482408046722412
06-05-1994,19.0,19.0,56200,19.125,19.0,2.4661853313446045
09-05-1994,18.5,19.0,53100,19.0,18.875,2.4499590396881104
10-05-1994,18.75,18.875,1100,18.875,18.75,2.43373441696167
11-05-1994,18.75,18.75,1000,18.75,18.75,2.43373441696167
12-05-1994,18.125,18.5,4300,18.625,18.125,2.3526101112365723
13-05-1994,17.125,18.0,61400,18.0,17.75,2.3039352893829346
16-05-1994,17.875,17.875,11400,18.5,18.0,2.33638596534729
17-05-1994,18.0,18.25,5200,18.375,18.25,2.368834972381592
18-05-1994,18.25,18.25,3900,18.5,18.5,2.4012844562530518
19-05-1994,18.375,18.5,4900,18.5,18.375,2.385059118270874
20-05-1994,18.0,18.25,16600,18.5,18.5,2.4012844562530518
23-05-1994,18.25,18.5,2400,18.5,18.5,2.4012844562530518
24-05-1994,18.0,18.25,5300,18.375,18.125,2.3526101112365723
25-05-1994,18.0,18.125,4800,18.375,18.0,2.33638596534729
26-05-1994,18.125,18.25,9000,18.375,18.125,2.3526101112365723
27-05-1994,18.0,18.125,13200,18.125,18.0,2.33638596534729
31-05-1994,18.0,18.0,18300,18.125,18.125,2.3526101112365723
01-06-1994,18.0,18.125,5700,18.375,18.125,2.3526101112365723
02-06-1994,18.125,18.375,5300,18.5,18.5,2.4012844562530518
03-06-1994,18.25,18.25,6800,18.5,18.5,2.4012844562530518
06-06-1994,18.375,18.375,5000,18.875,18.5,2.4012844562530518
07-06-1994,17.875,18.5,8800,18.5,17.875,2.320160150527954
08-06-1994,18.125,18.125,3100,18.625,18.625,2.4175095558166504
09-06-1994,18.375,18.625,7200,18.75,18.75,2.43373441696167
10-06-1994,18.5,18.5,8300,19.0,18.625,2.4175095558166504
13-06-1994,18.5,18.625,3000,18.625,18.5,2.4012844562530518
14-06-1994,18.25,18.375,10000,18.375,18.375,2.385059118270874
15-06-1994,18.125,18.375,5000,18.375,18.25,2.368834972381592
16-06-1994,18.25,18.375,3900,18.625,18.625,2.4175095558166504
17-06-1994,18.375,18.375,8400,18.625,18.5,2.4012844562530518
