Date,Low,Open,Volume,High,Close,Adjusted Close
16-10-1996,7.0,7.0,39000,8.25,8.125,3.942354202270508
17-10-1996,8.25,8.25,23600,8.625,8.375,4.063655853271484
18-10-1996,8.625,8.75,79000,8.75,8.625,4.1849589347839355
21-10-1996,8.625,8.6875,16800,8.6875,8.6875,4.215287685394287
22-10-1996,8.1875,8.625,72400,8.625,8.1875,3.9726784229278564
23-10-1996,7.75,7.875,27200,8.0,7.875,3.8210501670837402
24-10-1996,7.5,7.8125,79400,7.8125,7.5625,3.669421434402466
25-10-1996,7.5,7.5,96400,7.5625,7.5625,3.669421434402466
28-10-1996,7.5,7.5,48400,7.625,7.625,3.699747085571289
29-10-1996,7.625,7.625,16000,7.75,7.75,3.7603986263275146
30-10-1996,7.75,7.875,28200,7.875,7.75,3.7603986263275146
31-10-1996,7.5,7.75,361600,7.8125,7.625,3.699747085571289
01-11-1996,7.1875,7.5625,1305000,7.625,7.25,3.517791748046875
04-11-1996,7.25,7.25,1030400,7.375,7.3125,3.5481183528900146
05-11-1996,7.3125,7.3125,927400,7.625,7.5,3.639096260070801
06-11-1996,7.5,7.5625,659800,7.875,7.6875,3.7300727367401123
07-11-1996,7.625,7.6875,1180800,7.8125,7.75,3.7603986263275146
08-11-1996,7.6875,7.8125,990800,7.8125,7.6875,3.7300727367401123
11-11-1996,7.625,7.625,1018800,8.0,7.9375,3.851376533508301
12-11-1996,7.6875,8.0,211200,8.0,7.75,3.7603986263275146
13-11-1996,7.5,7.8125,952200,7.8125,7.5625,3.669421434402466
14-11-1996,7.4375,7.5625,891000,7.5625,7.5,3.639096260070801
15-11-1996,7.5625,7.5625,1254400,7.75,7.75,3.7603986263275146
18-11-1996,7.625,7.875,547800,7.9375,7.625,3.699747085571289
19-11-1996,7.75,7.75,669000,7.875,7.8125,3.7907261848449707
20-11-1996,7.8125,7.8125,477000,7.9375,7.8125,3.7907261848449707
21-11-1996,7.5,7.875,279000,7.9375,7.5625,3.669421434402466
22-11-1996,7.375,7.5625,709000,7.75,7.4375,3.6087706089019775
25-11-1996,7.125,7.5625,1209000,7.5625,7.1875,3.48746657371521
26-11-1996,6.875,7.1875,1263000,7.1875,7.0,3.3964898586273193
27-11-1996,7.0,7.0625,2561000,7.625,7.5625,3.669421434402466
29-11-1996,7.5,7.5,309000,7.6875,7.6875,3.7300727367401123
02-12-1996,7.5,7.625,679000,7.8125,7.75,3.7603986263275146
03-12-1996,7.75,7.75,1158600,8.125,8.125,3.942354202270508
04-12-1996,7.875,8.125,474600,8.125,8.0625,3.9120278358459473
05-12-1996,8.0625,8.125,547600,8.1875,8.1875,3.9726784229278564
06-12-1996,7.875,7.9375,340200,8.0625,8.0625,3.9120278358459473
09-12-1996,8.0,8.0625,548600,8.1875,8.125,3.942354202270508
10-12-1996,8.0,8.0625,861400,8.1875,8.0,3.8817014694213867
11-12-1996,7.8125,7.9375,722400,8.0,8.0,3.8817014694213867
12-12-1996,8.0,8.0,192800,8.0625,8.0,3.8817014694213867
13-12-1996,7.8125,7.9375,783200,8.0,7.8125,3.7907261848449707
16-12-1996,7.6875,7.875,652600,7.875,7.75,3.7603986263275146
17-12-1996,7.75,7.75,343000,8.0,8.0,3.8817014694213867
18-12-1996,7.9375,8.0,479200,8.1875,8.1875,3.9726784229278564
19-12-1996,8.125,8.1875,416800,8.25,8.125,3.942354202270508
20-12-1996,7.9375,8.25,556600,8.25,8.1875,3.9726784229278564
23-12-1996,8.0625,8.25,314600,8.3125,8.1875,3.9726784229278564
24-12-1996,8.0625,8.125,203200,8.1875,8.1875,3.9726784229278564
26-12-1996,8.0,8.1875,386400,8.25,8.25,4.003005504608154
27-12-1996,8.1875,8.1875,307800,8.4375,8.3125,4.033330917358398
30-12-1996,8.3125,8.375,391200,8.625,8.625,4.1849589347839355
31-12-1996,8.625,8.6875,284200,8.8125,8.8125,4.275936126708984
02-01-1997,8.3125,8.75,550400,8.75,8.375,4.063655853271484
03-01-1997,8.375,8.4375,479200,8.5625,8.4375,4.093984603881836
06-01-1997,8.375,8.5,294600,8.5,8.4375,4.093984603881836
07-01-1997,8.375,8.5,472400,8.5625,8.4375,4.093984603881836
08-01-1997,8.375,8.4375,359400,8.5625,8.375,4.063655853271484
09-01-1997,8.3125,8.4375,248200,8.4375,8.4375,4.093984603881836
10-01-1997,8.25,8.375,268000,8.4375,8.3125,4.033330917358398
13-01-1997,8.25,8.3125,341800,8.4375,8.3125,4.033330917358398
14-01-1997,8.1875,8.3125,469400,8.375,8.25,4.003005504608154
15-01-1997,8.0,8.1875,429600,8.25,8.0625,3.9120278358459473
16-01-1997,7.8125,8.125,273000,8.125,7.9375,3.851376533508301
17-01-1997,7.875,7.9375,310600,8.0,8.0,3.8817014694213867
20-01-1997,7.9375,8.0,126200,8.1875,8.125,3.942354202270508
21-01-1997,8.0625,8.1875,404000,8.25,8.1875,3.9726784229278564
22-01-1997,8.1875,8.1875,287600,8.3125,8.25,4.003005504608154
23-01-1997,8.1875,8.3125,228400,8.4375,8.25,4.003005504608154
24-01-1997,8.0625,8.25,381600,8.25,8.0625,3.9120278358459473
27-01-1997,7.6875,8.0,204200,8.0,7.6875,3.7300727367401123
28-01-1997,7.625,7.875,252200,7.9375,7.6875,3.7300727367401123
29-01-1997,7.6875,7.75,319600,7.9375,7.9375,3.851376533508301
30-01-1997,7.75,7.8125,181800,7.9375,7.9375,3.851376533508301
31-01-1997,7.875,7.875,339200,8.0,8.0,3.8817014694213867
03-02-1997,7.8125,8.0,330000,8.0625,8.0,3.8817014694213867
04-02-1997,7.8125,7.9375,162200,7.9375,7.9375,3.851376533508301
05-02-1997,7.75,8.0,295400,8.0625,7.75,3.7603986263275146
06-02-1997,7.75,7.875,155000,7.875,7.75,3.7603986263275146
07-02-1997,7.875,7.875,87200,8.0,7.9375,3.851376533508301
10-02-1997,7.8125,7.9375,187200,7.9375,7.875,3.8210501670837402
11-02-1997,7.75,7.8125,206600,7.875,7.8125,3.7907261848449707
12-02-1997,7.5,7.75,319800,7.75,7.625,3.699747085571289
13-02-1997,7.5625,7.5625,238800,7.75,7.6875,3.7300727367401123
14-02-1997,7.5,7.6875,324600,7.75,7.5,3.639096260070801
18-02-1997,7.5,7.5625,228200,7.6875,7.6875,3.7300727367401123
19-02-1997,7.625,7.6875,195800,7.8125,7.75,3.7603986263275146
20-02-1997,7.5,7.6875,1030400,7.75,7.625,3.699747085571289
21-02-1997,7.5,7.5625,678000,7.625,7.5625,3.669421434402466
24-02-1997,7.5625,7.5625,301200,7.75,7.75,3.7603986263275146
25-02-1997,7.6875,7.6875,313000,7.9375,7.9375,3.851376533508301
26-02-1997,7.75,7.875,109600,7.9375,7.8125,3.7907261848449707
27-02-1997,7.625,7.8125,149200,7.875,7.75,3.7603986263275146
28-02-1997,7.625,7.75,79200,7.75,7.6875,3.7300727367401123
03-03-1997,7.5625,7.625,347400,7.6875,7.5625,3.669421434402466
04-03-1997,7.5,7.5625,160800,7.6875,7.6875,3.7300727367401123
05-03-1997,7.625,7.625,56800,7.75,7.6875,3.7300727367401123
06-03-1997,7.5,7.625,327600,7.6875,7.625,3.699747085571289
07-03-1997,7.5625,7.5625,76200,7.625,7.5625,3.669421434402466
10-03-1997,7.5625,7.5625,821400,7.6875,7.6875,3.7300727367401123
11-03-1997,7.5625,7.6875,199800,7.6875,7.625,3.699747085571289
12-03-1997,7.4375,7.5625,391000,7.625,7.4375,3.6087706089019775
13-03-1997,7.375,7.4375,114200,7.5625,7.375,3.5784432888031006
14-03-1997,7.375,7.375,44800,7.4375,7.375,3.5784432888031006
17-03-1997,7.3125,7.375,94600,7.4375,7.375,3.5784432888031006
18-03-1997,7.25,7.3125,63800,7.625,7.3125,3.5481183528900146
19-03-1997,6.9375,7.3125,114200,7.3125,7.0625,3.42681622505188
20-03-1997,7.0625,7.0625,175800,7.25,7.25,3.517791748046875
21-03-1997,7.0625,7.1875,445400,7.25,7.125,3.4571402072906494
24-03-1997,7.125,7.125,62000,7.1875,7.1875,3.48746657371521
25-03-1997,7.125,7.1875,37400,7.1875,7.1875,3.48746657371521
26-03-1997,7.0625,7.1875,125800,7.1875,7.0625,3.42681622505188
27-03-1997,6.75,7.125,249600,7.125,6.875,3.335836172103882
31-03-1997,6.6875,6.75,433800,6.9375,6.75,3.275186777114868
01-04-1997,6.75,6.75,168000,6.9375,6.9375,3.3661625385284424
02-04-1997,6.8125,6.875,74000,6.875,6.8125,3.3055126667022705
03-04-1997,6.75,6.8125,1677200,7.0,6.8125,3.3055126667022705
04-04-1997,6.625,6.625,3134000,6.9375,6.9375,3.3661625385284424
07-04-1997,6.875,6.875,989200,7.125,7.0625,3.42681622505188
08-04-1997,7.0,7.0,43200,7.125,7.0,3.3964898586273193
09-04-1997,7.0,7.0,144400,7.125,7.0,3.3964898586273193
10-04-1997,7.0,7.0,74600,7.25,7.1875,3.48746657371521
11-04-1997,7.0,7.125,186600,7.1875,7.0,3.3964898586273193
14-04-1997,6.8125,7.0,56400,7.0,6.9375,3.3661625385284424
15-04-1997,6.75,6.9375,974400,6.9375,6.875,3.335836172103882
16-04-1997,6.8125,6.8125,117200,6.9375,6.9375,3.3661625385284424
17-04-1997,6.8125,7.0,51600,7.0,6.875,3.335836172103882
18-04-1997,6.8125,6.875,20400,6.9375,6.875,3.335836172103882
21-04-1997,6.5,6.8125,172200,6.875,6.625,3.2145330905914307
22-04-1997,6.5,6.5625,178000,6.75,6.5,3.153883218765259
23-04-1997,6.4375,6.5,1146400,6.6875,6.5625,3.184208393096924
24-04-1997,6.5,6.6875,165600,6.6875,6.5625,3.184208393096924
25-04-1997,6.4375,6.625,192600,6.75,6.4375,3.123556137084961
28-04-1997,6.375,6.4375,53400,6.4375,6.375,3.093230724334717
29-04-1997,6.75,6.75,1531800,7.25,7.0625,3.42681622505188
30-04-1997,7.0,7.0625,651200,7.1875,7.0,3.3964898586273193
01-05-1997,6.9375,7.0,338000,7.0625,7.0,3.3964898586273193
02-05-1997,6.9375,7.0,3449200,7.0625,6.9375,3.3661625385284424
05-05-1997,6.875,6.9375,404200,7.125,7.0,3.3964898586273193
06-05-1997,6.75,6.9375,1095400,7.0,6.8125,3.3055126667022705
07-05-1997,6.875,6.875,275400,7.0,6.9375,3.3661625385284424
08-05-1997,6.875,6.875,143800,6.9375,6.9375,3.3661625385284424
09-05-1997,6.8125,6.9375,286800,6.9375,6.9375,3.3661625385284424
12-05-1997,6.9375,6.9375,164400,7.0625,7.0,3.3964898586273193
13-05-1997,7.0,7.0,315200,7.0625,7.0,3.3964898586273193
14-05-1997,7.0,7.0,216000,7.1875,7.125,3.4571402072906494
15-05-1997,7.125,7.125,270200,7.1875,7.125,3.4571402072906494
16-05-1997,7.125,7.125,68200,7.1875,7.125,3.4571402072906494
19-05-1997,7.125,7.125,110000,7.3125,7.3125,3.5481183528900146
20-05-1997,7.125,7.1875,90000,7.4375,7.375,3.5784432888031006
21-05-1997,7.375,7.4375,304400,7.5625,7.5,3.639096260070801
22-05-1997,7.375,7.5,99000,7.5,7.5,3.639096260070801
23-05-1997,7.4375,7.4375,322000,7.5,7.5,3.639096260070801
27-05-1997,7.5,7.5,129600,7.75,7.75,3.7603986263275146
28-05-1997,7.6875,7.6875,267800,7.9375,7.9375,3.851376533508301
29-05-1997,7.75,7.9375,153200,7.9375,7.875,3.8210501670837402
