Date,Low,Open,Volume,High,Close,Adjusted Close
17-02-1989,10.0,0.0,128400,10.0,10.0,1.0698176622390747
21-02-1989,10.0,0.0,23400,10.0,10.0,1.0698176622390747
22-02-1989,10.0,0.0,17800,10.0,10.0,1.0698176622390747
23-02-1989,10.0,0.0,18000,10.0,10.0,1.0698176622390747
24-02-1989,10.0,0.0,14300,10.0,10.0,1.0698176622390747
27-02-1989,10.0,0.0,43900,10.0,10.0,1.0698176622390747
28-02-1989,10.0,0.0,11100,10.0,10.0,1.0698176622390747
01-03-1989,10.0,0.0,11300,10.0,10.0,1.0698176622390747
02-03-1989,10.0,0.0,7900,10.0,10.0,1.0698176622390747
03-03-1989,10.0,0.0,19600,10.0,10.0,1.0698176622390747
06-03-1989,10.0,0.0,40500,10.0,10.0,1.0698176622390747
07-03-1989,10.0,0.0,12600,10.0,10.0,1.0698176622390747
08-03-1989,10.0,0.0,17700,10.0,10.0,1.0698176622390747
09-03-1989,10.0,0.0,7800,10.0,10.0,1.0698176622390747
10-03-1989,10.0,0.0,5900,10.0,10.0,1.0698176622390747
13-03-1989,10.0,0.0,26400,10.0,10.0,1.0698176622390747
14-03-1989,10.0,0.0,12500,10.0,10.0,1.0698176622390747
15-03-1989,10.0,0.0,54700,10.0,10.0,1.0698176622390747
16-03-1989,10.0,0.0,48900,10.0,10.0,1.0698176622390747
17-03-1989,10.0,0.0,35600,10.0,10.0,1.0698176622390747
20-03-1989,10.0,0.0,39300,10.0,10.0,1.0698176622390747
21-03-1989,10.0,0.0,59600,10.0,10.0,1.0698176622390747
22-03-1989,10.0,0.0,19400,10.0,10.0,1.0698176622390747
23-03-1989,10.0,0.0,52600,10.0,10.0,1.0698176622390747
27-03-1989,9.875,0.0,40800,10.0,9.875,1.0564441680908203
28-03-1989,9.875,0.0,65600,9.875,9.875,1.0564441680908203
29-03-1989,9.875,0.0,19600,10.0,10.0,1.0698176622390747
30-03-1989,9.875,0.0,69100,9.875,9.875,1.0564441680908203
31-03-1989,9.875,0.0,56500,9.875,9.875,1.0564441680908203
03-04-1989,9.75,0.0,40700,9.875,9.75,1.0430724620819092
04-04-1989,9.75,0.0,14600,9.875,9.75,1.0430724620819092
05-04-1989,9.625,0.0,25100,9.875,9.625,1.0296992063522339
06-04-1989,9.625,0.0,35700,9.75,9.625,1.0296992063522339
07-04-1989,9.625,0.0,34100,9.75,9.625,1.0296992063522339
10-04-1989,9.5,0.0,19200,9.75,9.5,1.0163263082504272
11-04-1989,9.375,0.0,47900,9.625,9.5,1.0163263082504272
12-04-1989,9.25,0.0,33300,9.5,9.375,1.0029542446136475
13-04-1989,9.25,0.0,23900,9.375,9.25,0.9895809292793274
14-04-1989,9.25,0.0,10900,9.375,9.25,0.9895809292793274
17-04-1989,9.25,0.0,28000,9.5,9.375,1.0029542446136475
18-04-1989,9.375,0.0,22300,9.5,9.375,1.0029542446136475
19-04-1989,9.375,0.0,23800,9.625,9.5,1.0163263082504272
20-04-1989,9.375,0.0,17500,9.5,9.5,1.0163263082504272
21-04-1989,9.375,0.0,13200,9.5,9.5,1.0163263082504272
24-04-1989,9.375,0.0,11400,9.5,9.375,1.0029542446136475
25-04-1989,9.375,0.0,47400,9.5,9.5,1.0163263082504272
26-04-1989,9.5,0.0,34100,9.625,9.5,1.0163263082504272
27-04-1989,9.5,0.0,7800,9.625,9.5,1.0163263082504272
28-04-1989,9.5,0.0,5700,9.5,9.5,1.0163263082504272
01-05-1989,9.625,0.0,34400,9.75,9.625,1.0296992063522339
02-05-1989,9.625,0.0,15600,9.75,9.75,1.0430724620819092
03-05-1989,9.5,0.0,34100,9.75,9.625,1.0296992063522339
04-05-1989,9.625,0.0,20400,9.75,9.75,1.0430724620819092
05-05-1989,9.625,0.0,74300,9.875,9.875,1.0564441680908203
08-05-1989,9.875,0.0,55300,9.875,9.875,1.0564441680908203
09-05-1989,9.875,0.0,45100,10.0,9.875,1.0564441680908203
10-05-1989,9.875,0.0,47200,10.0,9.875,1.0564441680908203
11-05-1989,9.75,0.0,32700,10.0,9.75,1.0430724620819092
12-05-1989,9.75,0.0,17500,9.875,9.75,1.0430724620819092
15-05-1989,9.625,0.0,36300,9.875,9.625,1.0296992063522339
16-05-1989,9.75,0.0,23600,9.875,9.75,1.0430724620819092
17-05-1989,9.75,0.0,22200,9.875,9.75,1.0430724620819092
18-05-1989,9.75,0.0,45700,9.875,9.875,1.0564441680908203
19-05-1989,9.625,0.0,22900,9.75,9.625,1.0296992063522339
22-05-1989,9.625,0.0,15200,9.75,9.625,1.0296992063522339
23-05-1989,9.625,0.0,28700,9.875,9.75,1.0430724620819092
24-05-1989,9.625,0.0,10200,9.75,9.75,1.0430724620819092
25-05-1989,9.625,0.0,14400,9.75,9.75,1.0430724620819092
26-05-1989,9.625,0.0,14800,9.75,9.625,1.0296992063522339
30-05-1989,9.625,0.0,16900,9.75,9.625,1.0296992063522339
31-05-1989,9.625,0.0,6900,9.75,9.75,1.0430724620819092
01-06-1989,9.625,0.0,29800,9.875,9.625,1.0296992063522339
02-06-1989,9.625,0.0,10600,9.75,9.625,1.0296992063522339
05-06-1989,9.625,0.0,33000,9.75,9.75,1.0430724620819092
