Date,Low,Open,Volume,High,Close,Adjusted Close
25-02-1993,3.4375,3.4375,26388800,3.59375,3.5,1.0042353868484497
26-02-1993,3.5,3.546875,2868000,3.5625,3.546875,1.0176854133605957
01-03-1993,3.53125,3.546875,1756800,3.578125,3.5625,1.0221681594848633
02-03-1993,3.515625,3.5625,746400,3.578125,3.515625,1.008718490600586
03-03-1993,3.5,3.515625,880800,3.546875,3.53125,1.0132018327713013
04-03-1993,3.515625,3.53125,636000,3.609375,3.609375,1.0356180667877197
05-03-1993,3.625,3.625,487200,3.703125,3.65625,1.0490676164627075
08-03-1993,3.65625,3.65625,440800,3.75,3.75,1.0759665966033936
09-03-1993,3.71875,3.75,552000,3.859375,3.84375,1.1028656959533691
10-03-1993,3.90625,3.90625,1170400,4.046875,4.03125,1.1566640138626099
11-03-1993,4.0,4.015625,399200,4.109375,4.09375,1.174596905708313
12-03-1993,4.015625,4.0625,238400,4.125,4.109375,1.1790800094604492
15-03-1993,4.03125,4.109375,293600,4.125,4.046875,1.161147952079773
16-03-1993,3.78125,4.03125,689600,4.03125,3.90625,1.1207985877990723
17-03-1993,3.890625,3.890625,278400,4.0625,4.03125,1.1566640138626099
18-03-1993,3.9375,4.03125,200800,4.046875,3.984375,1.1432145833969116
19-03-1993,3.90625,3.953125,146400,3.96875,3.953125,1.1342482566833496
22-03-1993,3.921875,3.9375,114400,3.953125,3.953125,1.140015959739685
23-03-1993,3.9375,3.953125,84000,4.0,3.984375,1.1490278244018555
24-03-1993,3.96875,3.96875,96800,4.0,3.96875,1.1445213556289673
25-03-1993,3.96875,3.984375,262400,4.0625,4.0625,1.1715577840805054
26-03-1993,4.078125,4.078125,852000,4.34375,4.21875,1.2166180610656738
29-03-1993,4.234375,4.25,261600,4.296875,4.296875,1.2391479015350342
30-03-1993,4.34375,4.34375,427200,4.453125,4.4375,1.2797012329101562
31-03-1993,4.4375,4.4375,279200,4.59375,4.5625,1.315748929977417
01-04-1993,4.4375,4.59375,272000,4.59375,4.484375,1.293220043182373
02-04-1993,4.40625,4.453125,125600,4.5,4.4375,1.2797012329101562
05-04-1993,4.421875,4.421875,51200,4.4375,4.421875,1.2751959562301636
06-04-1993,4.453125,4.453125,522400,4.5625,4.515625,1.302231788635254
07-04-1993,4.5,4.515625,285600,4.546875,4.546875,1.311244010925293
08-04-1993,4.5625,4.5625,347200,4.625,4.625,1.3337737321853638
12-04-1993,4.625,4.65625,48800,4.703125,4.65625,1.3427855968475342
13-04-1993,4.578125,4.640625,105600,4.6875,4.578125,1.3202552795410156
14-04-1993,4.5,4.609375,110400,4.65625,4.53125,1.3067376613616943
15-04-1993,4.53125,4.53125,125600,4.5625,4.546875,1.311244010925293
16-04-1993,4.5625,4.59375,54400,4.59375,4.5625,1.315748929977417
19-04-1993,4.515625,4.5625,64800,4.5625,4.546875,1.311244010925293
20-04-1993,4.515625,4.53125,100000,4.53125,4.515625,1.302231788635254
21-04-1993,4.484375,4.546875,52800,4.546875,4.515625,1.302231788635254
22-04-1993,4.515625,4.515625,31200,4.546875,4.546875,1.311244010925293
23-04-1993,4.46875,4.515625,248000,4.515625,4.46875,1.2887132167816162
26-04-1993,4.1875,4.484375,175200,4.484375,4.1875,1.2076059579849243
27-04-1993,4.09375,4.1875,195200,4.1875,4.125,1.1895815134048462
28-04-1993,4.09375,4.109375,504800,4.21875,4.21875,1.2166180610656738
29-04-1993,4.234375,4.25,738400,4.265625,4.265625,1.2301366329193115
30-04-1993,4.21875,4.25,23200,4.265625,4.234375,1.2211240530014038
03-05-1993,4.15625,4.203125,58400,4.21875,4.21875,1.2166180610656738
04-05-1993,4.203125,4.234375,256800,4.3125,4.3125,1.243653416633606
05-05-1993,4.328125,4.328125,56800,4.359375,4.359375,1.257171392440796
06-05-1993,4.359375,4.375,324000,4.4375,4.4375,1.2797012329101562
07-05-1993,4.453125,4.453125,37600,4.5,4.5,1.2977256774902344
10-05-1993,4.484375,4.484375,64000,4.53125,4.484375,1.293220043182373
11-05-1993,4.4375,4.5,32800,4.5,4.4375,1.2797012329101562
12-05-1993,4.421875,4.4375,17600,4.4375,4.421875,1.2751959562301636
13-05-1993,4.375,4.421875,24000,4.421875,4.375,1.2616772651672363
14-05-1993,4.375,4.375,45600,4.390625,4.390625,1.2661842107772827
17-05-1993,4.328125,4.359375,16000,4.359375,4.328125,1.2481600046157837
18-05-1993,4.296875,4.296875,12800,4.296875,4.296875,1.2391479015350342
19-05-1993,4.25,4.265625,21600,4.265625,4.25,1.2256299257278442
20-05-1993,4.15625,4.21875,44000,4.21875,4.15625,1.1985936164855957
21-05-1993,4.03125,4.125,35200,4.140625,4.046875,1.1670515537261963
24-05-1993,3.890625,4.03125,855200,4.03125,3.9375,1.1355096101760864
25-05-1993,3.9375,3.953125,520800,4.0,3.9375,1.1355096101760864
26-05-1993,3.875,3.953125,562400,3.953125,3.890625,1.121991515159607
27-05-1993,3.90625,3.90625,603200,4.0625,4.046875,1.1670515537261963
28-05-1993,4.0,4.03125,36800,4.03125,4.03125,1.1625453233718872
01-06-1993,4.0,4.046875,32800,4.046875,4.0,1.1535340547561646
02-06-1993,3.96875,3.96875,676800,4.328125,4.328125,1.2481600046157837
03-06-1993,4.203125,4.328125,117600,4.328125,4.25,1.2256299257278442
04-06-1993,4.203125,4.234375,408800,4.234375,4.203125,1.212111234664917
07-06-1993,4.21875,4.234375,48000,4.25,4.234375,1.2211240530014038
08-06-1993,4.140625,4.203125,62400,4.203125,4.1875,1.2076059579849243
09-06-1993,4.203125,4.21875,33600,4.234375,4.203125,1.212111234664917
10-06-1993,4.15625,4.234375,49600,4.234375,4.15625,1.1985936164855957
11-06-1993,4.078125,4.125,40000,4.140625,4.125,1.1895815134048462
14-06-1993,4.078125,4.109375,12000,4.109375,4.109375,1.1850759983062744
15-06-1993,4.078125,4.125,29600,4.125,4.109375,1.1850759983062744
16-06-1993,4.09375,4.109375,43200,4.15625,4.15625,1.1985936164855957
17-06-1993,4.15625,4.15625,1600,4.15625,4.15625,1.1985936164855957
18-06-1993,4.109375,4.15625,37600,4.171875,4.171875,1.2030999660491943
21-06-1993,4.046875,4.125,563200,4.125,4.09375,1.198889970779419
22-06-1993,4.046875,4.09375,73600,4.109375,4.0625,1.1897380352020264
23-06-1993,4.046875,4.0625,115200,4.109375,4.09375,1.198889970779419
24-06-1993,4.078125,4.109375,250400,4.1875,4.1875,1.2263456583023071
25-06-1993,4.1875,4.1875,200800,4.34375,4.328125,1.2675285339355469
