Date,Low,Open,Volume,High,Close,Adjusted Close
27-01-1999,15.0,15.0,245000,15.0625,15.0,3.5333728790283203
28-01-1999,15.0,15.0625,39100,15.0625,15.0625,3.5480902194976807
29-01-1999,15.0,15.0,34800,15.0625,15.0625,3.5480902194976807
01-02-1999,15.0,15.0625,25200,15.0625,15.0,3.5333728790283203
02-02-1999,15.0,15.0625,73600,15.0625,15.0625,3.5480902194976807
03-02-1999,15.0,15.0,13400,15.0625,15.0625,3.5480902194976807
04-02-1999,15.0,15.0,9200,15.0625,15.0,3.5333728790283203
05-02-1999,15.0,15.0625,5900,15.0625,15.0625,3.5480902194976807
08-02-1999,15.0625,15.0625,12200,15.0625,15.0625,3.5480902194976807
09-02-1999,15.0,15.0,29000,15.125,15.125,3.5628128051757812
10-02-1999,15.0,15.125,17100,15.125,15.125,3.5628128051757812
11-02-1999,15.0625,15.0625,11600,15.25,15.0625,3.5480902194976807
12-02-1999,15.0,15.0625,51000,15.125,15.125,3.5628128051757812
16-02-1999,15.0,15.0625,33600,15.125,15.0,3.5333728790283203
17-02-1999,15.0,15.0,23700,15.125,15.0,3.5333728790283203
18-02-1999,15.0,15.0,33600,15.0625,15.0,3.5333728790283203
19-02-1999,15.0,15.0,20700,15.125,15.0,3.5333728790283203
22-02-1999,15.0,15.0625,37900,15.0625,15.0625,3.5480902194976807
23-02-1999,15.0,15.0,48900,15.375,15.0625,3.5480902194976807
24-02-1999,15.0625,15.0625,19000,15.1875,15.0625,3.5480902194976807
25-02-1999,15.0,15.0625,31300,15.0625,15.0,3.5333728790283203
26-02-1999,15.0,15.0625,8000,15.0625,15.0,3.5333728790283203
01-03-1999,15.0,15.0625,44500,15.0625,15.0625,3.5480902194976807
02-03-1999,15.0,15.0625,9200,15.0625,15.0,3.5333728790283203
03-03-1999,15.0,15.0,15100,15.0625,15.0625,3.5480902194976807
04-03-1999,15.0,15.0625,10100,15.0625,15.0625,3.5480902194976807
05-03-1999,15.0,15.0625,27300,15.0625,15.0,3.5333728790283203
08-03-1999,15.0,15.0625,9600,15.0625,15.0625,3.5480902194976807
09-03-1999,15.0,15.0625,18600,15.0625,15.0625,3.5480902194976807
10-03-1999,15.0,15.0625,31800,15.0625,15.0625,3.5480902194976807
11-03-1999,15.0,15.0,11500,15.0,15.0,3.5333728790283203
12-03-1999,15.0,15.0,16400,15.0625,15.0625,3.5480902194976807
15-03-1999,15.0,15.0625,68100,15.0625,15.0625,3.5480902194976807
16-03-1999,15.0625,15.0625,6200,15.0625,15.0625,3.5480902194976807
17-03-1999,15.0625,15.0625,23000,15.125,15.0625,3.5480902194976807
18-03-1999,15.0,15.0625,18300,15.0625,15.0625,3.5480902194976807
19-03-1999,15.0,15.0625,9900,15.0625,15.0,3.5333728790283203
22-03-1999,15.0,15.0625,46700,15.125,15.0625,3.5480902194976807
23-03-1999,15.0,15.0,22600,15.0625,15.0,3.5333728790283203
24-03-1999,15.0,15.0,31400,15.125,15.0625,3.5480902194976807
25-03-1999,15.0,15.0,13200,15.0,15.0,3.5333728790283203
26-03-1999,15.0,15.0625,10600,15.0625,15.0,3.5333728790283203
29-03-1999,15.0,15.0,12400,15.0625,15.0,3.5333728790283203
30-03-1999,15.0625,15.125,12500,15.125,15.125,3.5628128051757812
31-03-1999,15.0,15.125,17600,15.125,15.0625,3.5480902194976807
01-04-1999,15.0625,15.0625,11200,15.125,15.125,3.5628128051757812
05-04-1999,15.0,15.0,23000,15.125,15.125,3.5628128051757812
06-04-1999,15.0625,15.125,13900,15.1875,15.0625,3.5480902194976807
07-04-1999,15.0625,15.125,17800,15.125,15.0625,3.5480902194976807
08-04-1999,15.0,15.0625,53200,15.0625,15.0,3.5333728790283203
09-04-1999,15.0,15.0,36800,15.0625,15.0,3.5333728790283203
12-04-1999,15.0,15.0,40100,15.125,15.0625,3.5480902194976807
13-04-1999,15.0625,15.125,16500,15.1875,15.1875,3.5775351524353027
14-04-1999,15.0625,15.125,11800,15.125,15.0625,3.5480902194976807
15-04-1999,15.0625,15.0625,13600,15.125,15.0625,3.5480902194976807
16-04-1999,15.0625,15.0625,39000,15.125,15.0625,3.5480902194976807
19-04-1999,15.0625,15.0625,48700,15.25,15.125,3.5628128051757812
20-04-1999,15.0625,15.0625,19500,15.25,15.0625,3.5480902194976807
21-04-1999,15.0625,15.0625,7000,15.1875,15.0625,3.5480902194976807
22-04-1999,15.0625,15.0625,17400,15.0625,15.0625,3.5480902194976807
23-04-1999,15.0,15.0625,22200,15.0625,15.0,3.5333728790283203
26-04-1999,14.75,15.0,17500,15.0,14.75,3.474480390548706
27-04-1999,14.5,14.8125,15600,14.875,14.625,3.4450345039367676
28-04-1999,14.4375,14.625,7300,14.625,14.5,3.415590286254883
29-04-1999,14.375,14.4375,16600,14.5,14.4375,3.4008684158325195
30-04-1999,14.375,14.4375,11700,14.4375,14.4375,3.4008684158325195
03-05-1999,14.5,14.5,11400,14.75,14.625,3.4450345039367676
04-05-1999,14.625,14.6875,11500,14.875,14.875,3.503920793533325
05-05-1999,14.8125,14.875,12100,14.9375,14.9375,3.5350446701049805
06-05-1999,14.875,14.875,4100,14.9375,14.875,3.5202512741088867
07-05-1999,14.875,14.9375,4700,14.9375,14.9375,3.5350446701049805
10-05-1999,14.6875,14.9375,22600,14.9375,14.75,3.4906716346740723
11-05-1999,14.5625,14.8125,11500,14.8125,14.625,3.461090326309204
12-05-1999,14.5,14.625,13600,14.75,14.625,3.461090326309204
13-05-1999,14.625,14.625,7700,14.75,14.75,3.4906716346740723
14-05-1999,14.5625,14.75,10200,14.75,14.625,3.461090326309204
17-05-1999,14.5,14.6875,7600,14.6875,14.5,3.4315073490142822
18-05-1999,14.4375,14.5625,15800,14.625,14.5,3.4315073490142822
19-05-1999,14.5,14.5,5200,14.625,14.5,3.4315073490142822
20-05-1999,14.25,14.4375,9200,14.4375,14.3125,3.3871359825134277
21-05-1999,14.25,14.25,5800,14.25,14.25,3.372344493865967
24-05-1999,14.0,14.125,20100,14.25,14.0,3.313181161880493
25-05-1999,13.5,14.0,44500,14.0625,13.875,3.2835984230041504
26-05-1999,14.0,14.0,22200,14.125,14.0,3.313181161880493
27-05-1999,13.9375,14.0,11700,14.1875,13.9375,3.2983903884887695
28-05-1999,13.875,14.0,41300,14.0,13.875,3.2835984230041504
01-06-1999,13.625,13.9375,28200,13.9375,13.875,3.2835984230041504
02-06-1999,13.875,13.9375,17100,14.0,13.875,3.2835984230041504
03-06-1999,13.875,13.875,20800,14.125,14.0,3.313181161880493
04-06-1999,13.875,14.125,3800,14.125,14.0,3.313181161880493
07-06-1999,13.75,13.9375,18900,14.1875,13.875,3.2835984230041504
08-06-1999,13.6875,13.8125,28600,14.0,14.0,3.313181161880493
09-06-1999,13.875,14.0,8700,14.1875,13.875,3.2835984230041504
10-06-1999,13.75,13.875,17300,13.875,13.875,3.2835984230041504
11-06-1999,13.6875,13.75,11500,13.8125,13.8125,3.2688066959381104
14-06-1999,13.6875,13.8125,19600,13.875,13.8125,3.2688066959381104
15-06-1999,13.625,13.8125,18100,13.8125,13.6875,3.2392256259918213
16-06-1999,13.5625,13.6875,8300,13.6875,13.5625,3.209641218185425
17-06-1999,13.625,13.625,10900,13.75,13.625,3.2244315147399902
18-06-1999,13.625,13.625,0,13.625,13.625,3.2244315147399902
21-06-1999,13.75,13.75,23600,13.8125,13.8125,3.2688066959381104
22-06-1999,13.8125,13.875,57900,14.0625,13.875,3.2835984230041504
23-06-1999,13.6875,13.8125,39400,13.8125,13.75,3.254016876220703
24-06-1999,13.1875,13.6875,57500,13.75,13.1875,3.120896100997925
25-06-1999,12.625,13.0,77100,13.0625,13.0,3.0765252113342285
28-06-1999,12.875,13.0,22500,13.0,13.0,3.0765252113342285
29-06-1999,12.9375,13.0,45700,13.375,13.3125,3.1504807472229004
30-06-1999,13.3125,13.3125,26100,13.5,13.4375,3.180060625076294
01-07-1999,13.3125,13.375,16700,13.5,13.5,3.211341619491577
02-07-1999,13.3125,13.375,14700,13.375,13.375,3.181607484817505
06-07-1999,13.25,13.25,18000,13.375,13.375,3.181607484817505
07-07-1999,13.1875,13.25,22600,13.375,13.375,3.181607484817505
08-07-1999,13.4375,13.4375,10700,13.625,13.625,3.2410755157470703
09-07-1999,13.3125,13.4375,23100,13.5625,13.5625,3.2262065410614014
12-07-1999,13.3125,13.5625,24200,13.5625,13.375,3.181607484817505
13-07-1999,13.25,13.25,21400,13.5,13.5,3.211341619491577
14-07-1999,13.5,13.5625,20300,13.875,13.8125,3.285680055618286
15-07-1999,13.75,13.875,17500,14.0,13.8125,3.285680055618286
16-07-1999,13.5,13.8125,22600,13.875,13.625,3.2410755157470703
19-07-1999,13.3125,13.625,31200,13.6875,13.375,3.181607484817505
20-07-1999,13.3125,13.5,22100,13.5,13.375,3.181607484817505
21-07-1999,13.0,13.3125,59500,13.3125,13.25,3.151873826980591
22-07-1999,13.0625,13.25,11100,13.25,13.25,3.151873826980591
23-07-1999,12.75,13.1875,43500,13.1875,12.9375,3.077533483505249
26-07-1999,12.8125,12.9375,41200,13.0,12.875,3.062668561935425
27-07-1999,12.75,12.875,63200,13.0,12.875,3.062668561935425
28-07-1999,12.875,12.9375,22800,13.0,13.0,3.092402935028076
29-07-1999,12.9375,13.0,40000,13.125,12.9375,3.077533483505249
30-07-1999,12.9375,12.9375,11400,13.125,13.0,3.092402935028076
02-08-1999,12.9375,13.0,11700,13.0625,13.0625,3.107271432876587
03-08-1999,13.0625,13.0625,28800,13.125,13.125,3.122138738632202
04-08-1999,12.9375,13.0625,46300,13.25,13.25,3.1685314178466797
05-08-1999,12.875,13.0625,18700,13.125,12.875,3.078855037689209
06-08-1999,12.8125,12.8125,18600,13.0,12.9375,3.093799114227295
09-08-1999,12.75,12.875,27400,12.9375,12.75,3.0489633083343506
10-08-1999,12.5625,12.6875,15200,12.6875,12.5625,3.004126787185669
11-08-1999,12.5625,12.5625,23800,12.6875,12.6875,3.034017562866211
12-08-1999,12.5625,12.625,22700,12.75,12.6875,3.034017562866211
13-08-1999,12.5625,12.6875,27300,12.8125,12.6875,3.034017562866211
16-08-1999,12.5625,12.75,43300,12.75,12.6875,3.034017562866211
17-08-1999,12.5,12.6875,49100,12.6875,12.625,3.019069194793701
18-08-1999,12.625,12.6875,47500,12.8125,12.8125,3.0639078617095947
19-08-1999,12.625,12.75,34800,12.75,12.6875,3.034017562866211
20-08-1999,12.375,12.75,33400,12.75,12.375,2.9592862129211426
23-08-1999,12.25,12.4375,43200,12.5,12.375,2.9592862129211426
24-08-1999,12.0,12.375,73800,12.375,12.25,2.929396867752075
25-08-1999,12.25,12.25,96800,12.75,12.75,3.0489633083343506
26-08-1999,12.75,12.75,83900,13.375,13.1875,3.1535837650299072
27-08-1999,13.125,13.1875,42400,13.375,13.3125,3.183478355407715
30-08-1999,13.25,13.375,14800,13.4375,13.3125,3.183478355407715
31-08-1999,13.1875,13.3125,24300,13.3125,13.3125,3.183478355407715
01-09-1999,13.125,13.1875,6500,13.25,13.1875,3.1535837650299072
02-09-1999,13.125,13.1875,17800,13.3125,13.125,3.1386382579803467
03-09-1999,13.0625,13.25,11500,13.25,13.125,3.1552274227142334
07-09-1999,13.125,13.125,45500,13.375,13.25,3.185276985168457
08-09-1999,13.125,13.1875,53900,13.25,13.125,3.1552274227142334
09-09-1999,13.1875,13.1875,16300,13.3125,13.1875,3.1702489852905273
10-09-1999,13.1875,13.25,37200,13.3125,13.25,3.185276985168457
13-09-1999,13.1875,13.25,11600,13.3125,13.25,3.185276985168457
14-09-1999,13.0,13.1875,32400,13.3125,13.0,3.1251769065856934
15-09-1999,12.625,13.0,20000,13.0625,12.6875,3.050051689147949
16-09-1999,12.375,12.6875,15700,12.75,12.5,3.0049774646759033
