Date,Low,Open,Volume,High,Close,Adjusted Close
26-09-1988,10.0,0.0,115300,10.0,10.0,0.6152957677841187
27-09-1988,10.0,0.0,20000,10.0,10.0,0.6152957677841187
28-09-1988,10.0,0.0,140500,10.125,10.0,0.6152957677841187
29-09-1988,10.0,0.0,18900,10.125,10.0,0.6152957677841187
30-09-1988,10.0,0.0,67700,10.0,10.0,0.6152957677841187
03-10-1988,10.0,0.0,47400,10.0,10.0,0.6152957677841187
04-10-1988,10.0,0.0,14100,10.125,10.0,0.6152957677841187
05-10-1988,10.0,0.0,11700,10.0,10.0,0.6152957677841187
06-10-1988,10.0,0.0,17500,10.125,10.0,0.6152957677841187
07-10-1988,10.0,0.0,26500,10.125,10.0,0.6152957677841187
10-10-1988,10.0,0.0,24400,10.125,10.0,0.6152957677841187
11-10-1988,10.0,0.0,96600,10.0,10.0,0.6152957677841187
12-10-1988,10.0,0.0,110200,10.0,10.0,0.6152957677841187
13-10-1988,10.0,0.0,41900,10.0,10.0,0.6152957677841187
14-10-1988,10.0,0.0,43900,10.0,10.0,0.6152957677841187
17-10-1988,10.0,0.0,76400,10.0,10.0,0.6152957677841187
18-10-1988,10.0,0.0,141900,10.0,10.0,0.6152957677841187
19-10-1988,10.0,0.0,98800,10.0,10.0,0.6152957677841187
20-10-1988,10.0,0.0,66600,10.0,10.0,0.6152957677841187
21-10-1988,10.0,0.0,18000,10.0,10.0,0.6152957677841187
24-10-1988,10.0,0.0,75500,10.0,10.0,0.6152957677841187
25-10-1988,10.0,0.0,35600,10.125,10.0,0.6152957677841187
26-10-1988,10.0,0.0,61000,10.0,10.0,0.6152957677841187
27-10-1988,10.0,0.0,55200,10.0,10.0,0.6152957677841187
28-10-1988,10.0,0.0,65200,10.125,10.0,0.6152957677841187
31-10-1988,10.0,0.0,9300,10.0,10.0,0.6152957677841187
01-11-1988,10.0,0.0,10300,10.125,10.0,0.6152957677841187
02-11-1988,10.0,0.0,25200,10.125,10.125,0.6229868531227112
03-11-1988,10.0,0.0,64700,10.125,10.0,0.6152957677841187
04-11-1988,10.0,0.0,63300,10.125,10.125,0.6229868531227112
07-11-1988,10.0,0.0,54100,10.125,10.0,0.6152957677841187
08-11-1988,9.875,0.0,56700,10.0,9.875,0.6133081912994385
09-11-1988,9.875,0.0,54400,10.0,9.875,0.6133081912994385
10-11-1988,9.75,0.0,89200,10.0,9.875,0.6133081912994385
11-11-1988,9.75,0.0,34500,9.875,9.75,0.6055447459220886
14-11-1988,9.75,0.0,72000,9.875,9.75,0.6055447459220886
15-11-1988,9.75,0.0,43300,9.875,9.875,0.6133081912994385
16-11-1988,9.75,0.0,33900,9.875,9.75,0.6055447459220886
17-11-1988,9.625,0.0,30400,9.875,9.75,0.6055447459220886
18-11-1988,9.625,0.0,36900,9.75,9.75,0.6055447459220886
21-11-1988,9.5,0.0,21900,9.75,9.75,0.6055447459220886
22-11-1988,9.625,0.0,28000,9.75,9.75,0.6055447459220886
23-11-1988,9.625,0.0,8400,9.75,9.75,0.6055447459220886
25-11-1988,9.625,0.0,10000,9.75,9.625,0.5977814793586731
28-11-1988,9.5,0.0,21700,9.75,9.5,0.5900179743766785
29-11-1988,9.5,0.0,46100,9.625,9.625,0.5977814793586731
30-11-1988,9.375,0.0,15800,9.625,9.375,0.5822545289993286
01-12-1988,9.25,0.0,15900,9.5,9.375,0.5822545289993286
02-12-1988,9.125,0.0,15400,9.25,9.25,0.5744914412498474
05-12-1988,9.25,0.0,19200,9.5,9.375,0.5822545289993286
06-12-1988,9.375,0.0,32100,9.75,9.75,0.6055447459220886
07-12-1988,9.5,0.0,24700,9.75,9.5,0.5900179743766785
08-12-1988,9.5,0.0,32100,9.625,9.625,0.5977814793586731
09-12-1988,9.25,0.0,34300,9.5,9.25,0.5800967216491699
12-12-1988,9.25,0.0,27100,9.5,9.375,0.5879355072975159
13-12-1988,9.375,0.0,26900,9.5,9.375,0.5879355072975159
14-12-1988,9.375,0.0,16100,9.625,9.375,0.5879355072975159
15-12-1988,9.375,0.0,13000,9.5,9.5,0.5957746505737305
16-12-1988,9.25,0.0,29400,9.5,9.375,0.5879355072975159
19-12-1988,9.25,0.0,13900,9.5,9.25,0.5800967216491699
20-12-1988,9.125,0.0,54300,9.375,9.375,0.5879355072975159
21-12-1988,9.25,0.0,37000,9.375,9.25,0.5800967216491699
22-12-1988,9.25,0.0,31900,9.5,9.25,0.5800967216491699
23-12-1988,9.25,0.0,12200,9.5,9.375,0.5939064621925354
27-12-1988,9.25,0.0,16200,9.375,9.25,0.5859881043434143
28-12-1988,9.25,0.0,14000,9.375,9.25,0.5859881043434143
29-12-1988,9.125,0.0,8600,9.375,9.25,0.5859881043434143
30-12-1988,9.0,0.0,21900,9.25,9.25,0.5859881043434143
03-01-1989,9.0,0.0,16500,9.25,9.25,0.5859881043434143
04-01-1989,9.0,0.0,28100,9.375,9.25,0.5859881043434143
05-01-1989,9.25,0.0,13100,9.5,9.375,0.5939064621925354
06-01-1989,9.25,0.0,19100,9.5,9.375,0.5939064621925354
09-01-1989,9.25,0.0,12200,9.5,9.25,0.5859881043434143
10-01-1989,9.25,0.0,37400,9.625,9.5,0.6018252968788147
11-01-1989,9.5,0.0,28800,9.75,9.5,0.6018252968788147
12-01-1989,9.375,0.0,12500,9.625,9.5,0.6018252968788147
13-01-1989,9.5,0.0,9200,9.625,9.5,0.6018252968788147
16-01-1989,9.5,0.0,25300,9.625,9.5,0.6018252968788147
17-01-1989,9.375,0.0,17900,9.625,9.375,0.5939064621925354
18-01-1989,9.5,0.0,12900,9.625,9.5,0.6018252968788147
19-01-1989,9.5,0.0,11000,9.75,9.75,0.6176632046699524
20-01-1989,9.5,0.0,11100,9.75,9.625,0.6097443699836731
23-01-1989,9.5,0.0,9700,9.625,9.5,0.6018252968788147
24-01-1989,9.25,0.0,39400,9.5,9.25,0.5859881043434143
25-01-1989,9.375,0.0,73900,9.875,9.625,0.6097443699836731
26-01-1989,9.5,0.0,15500,9.875,9.625,0.6097443699836731
27-01-1989,9.625,0.0,12200,9.875,9.75,0.6176632046699524
30-01-1989,9.625,0.0,13100,9.75,9.625,0.6097443699836731
31-01-1989,9.625,0.0,19700,9.75,9.625,0.6097443699836731
01-02-1989,9.625,0.0,14400,9.75,9.625,0.6097443699836731
02-02-1989,9.5,0.0,17700,9.75,9.75,0.6176632046699524
03-02-1989,9.625,0.0,10800,9.75,9.75,0.6176632046699524
06-02-1989,9.5,0.0,15800,9.75,9.5,0.6018252968788147
07-02-1989,9.5,0.0,12900,9.75,9.625,0.6097443699836731
08-02-1989,9.625,0.0,15900,9.75,9.75,0.6176632046699524
09-02-1989,9.5,0.0,16700,9.75,9.5,0.607620894908905
10-02-1989,9.5,0.0,10300,9.625,9.625,0.6156165599822998
13-02-1989,9.5,0.0,27600,9.75,9.625,0.6156165599822998
14-02-1989,9.5,0.0,19800,9.75,9.625,0.6156165599822998
15-02-1989,9.5,0.0,26300,9.625,9.5,0.607620894908905
16-02-1989,9.375,0.0,44900,9.625,9.375,0.599626362323761
17-02-1989,9.375,0.0,22300,9.5,9.375,0.599626362323761
21-02-1989,9.375,0.0,18300,9.5,9.375,0.599626362323761
22-02-1989,9.375,0.0,16600,9.5,9.375,0.599626362323761
23-02-1989,9.25,0.0,18500,9.375,9.375,0.599626362323761
24-02-1989,9.25,0.0,21600,9.375,9.25,0.5916309356689453
27-02-1989,9.25,0.0,12700,9.375,9.25,0.5916309356689453
28-02-1989,9.25,0.0,16400,9.375,9.25,0.5916309356689453
01-03-1989,9.25,0.0,12700,9.375,9.25,0.5916309356689453
02-03-1989,9.25,0.0,18300,9.375,9.375,0.599626362323761
03-03-1989,9.25,0.0,10300,9.5,9.5,0.607620894908905
06-03-1989,9.25,0.0,20400,9.5,9.25,0.5916309356689453
07-03-1989,9.25,0.0,23300,9.375,9.25,0.5916309356689453
08-03-1989,9.25,0.0,19900,9.375,9.25,0.5916309356689453
09-03-1989,9.125,0.0,19400,9.375,9.125,0.5895635485649109
10-03-1989,9.125,0.0,24800,9.375,9.375,0.6057162284851074
13-03-1989,9.125,0.0,21100,9.25,9.25,0.5976396203041077
14-03-1989,9.125,0.0,19000,9.25,9.25,0.5976396203041077
15-03-1989,9.125,0.0,43800,9.25,9.125,0.5895635485649109
16-03-1989,9.0,0.0,29100,9.25,9.125,0.5895635485649109
17-03-1989,9.0,0.0,20700,9.25,9.25,0.5976396203041077
20-03-1989,9.0,0.0,17200,9.125,9.0,0.5814874768257141
21-03-1989,8.875,0.0,31400,9.125,8.875,0.573411226272583
22-03-1989,8.75,0.0,50000,9.0,9.0,0.5814874768257141
23-03-1989,8.875,0.0,35300,9.0,9.0,0.5814874768257141
27-03-1989,8.875,0.0,14400,9.125,9.0,0.5814874768257141
28-03-1989,9.0,0.0,14700,9.125,9.0,0.5814874768257141
29-03-1989,9.125,0.0,20700,9.25,9.125,0.5895635485649109
30-03-1989,9.125,0.0,12300,9.25,9.25,0.5976396203041077
31-03-1989,9.25,0.0,9200,9.375,9.375,0.6057162284851074
03-04-1989,9.125,0.0,23500,9.25,9.125,0.5895635485649109
04-04-1989,9.125,0.0,21500,9.25,9.125,0.5895635485649109
05-04-1989,9.125,0.0,20200,9.25,9.25,0.5976396203041077
06-04-1989,9.0,0.0,14600,9.125,9.125,0.5895635485649109
07-04-1989,9.0,0.0,42200,9.25,9.125,0.5895635485649109
10-04-1989,8.875,0.0,45500,9.125,8.875,0.5793161392211914
11-04-1989,8.875,0.0,51600,9.0,8.875,0.5793161392211914
12-04-1989,8.875,0.0,26600,9.0,8.875,0.5793161392211914
13-04-1989,8.875,0.0,20800,9.0,9.0,0.5874745845794678
14-04-1989,9.0,0.0,29200,9.125,9.125,0.5956344604492188
17-04-1989,9.0,0.0,20700,9.125,9.125,0.5956344604492188
18-04-1989,9.0,0.0,46800,9.25,9.0,0.5874745845794678
19-04-1989,8.75,0.0,37000,9.0,9.0,0.5874745845794678
20-04-1989,8.75,0.0,30800,9.0,8.875,0.5793161392211914
21-04-1989,8.625,0.0,41000,9.0,8.75,0.5711563229560852
24-04-1989,8.75,0.0,21900,8.875,8.75,0.5711563229560852
25-04-1989,8.75,0.0,29900,8.875,8.875,0.5793161392211914
26-04-1989,8.875,0.0,29900,9.0,8.875,0.5793161392211914
27-04-1989,8.875,0.0,45700,9.0,8.875,0.5793161392211914
28-04-1989,8.875,0.0,18000,9.0,9.0,0.5874745845794678
01-05-1989,8.875,0.0,47000,9.125,9.125,0.5956344604492188
02-05-1989,9.125,0.0,45000,9.375,9.25,0.6037937998771667
03-05-1989,9.125,0.0,16400,9.375,9.375,0.6119528412818909
04-05-1989,9.25,0.0,26700,9.375,9.25,0.6037937998771667
05-05-1989,9.25,0.0,26100,9.375,9.375,0.6119528412818909
08-05-1989,9.125,0.0,33100,9.25,9.25,0.6037937998771667
09-05-1989,9.0,0.0,20500,9.25,9.125,0.6016833782196045
10-05-1989,9.0,0.0,35100,9.25,9.125,0.6016833782196045
11-05-1989,9.0,0.0,25600,9.125,9.125,0.6016833782196045
12-05-1989,9.0,0.0,23800,9.25,9.25,0.6099256277084351
15-05-1989,9.0,0.0,22800,9.25,9.25,0.6099256277084351
16-05-1989,9.0,0.0,28000,9.25,9.25,0.6099256277084351
17-05-1989,9.0,0.0,29600,9.25,9.25,0.6099256277084351
18-05-1989,9.0,0.0,38800,9.25,9.125,0.6016833782196045
19-05-1989,9.0,0.0,24200,9.25,9.125,0.6016833782196045
22-05-1989,9.125,0.0,52800,9.5,9.375,0.618167519569397
23-05-1989,9.125,0.0,35700,9.375,9.25,0.6099256277084351
24-05-1989,9.125,0.0,18200,9.25,9.125,0.6016833782196045
25-05-1989,9.125,0.0,12600,9.25,9.125,0.6016833782196045
26-05-1989,9.125,0.0,19700,9.25,9.125,0.6016833782196045
30-05-1989,9.125,0.0,27800,9.25,9.25,0.6099256277084351
31-05-1989,9.125,0.0,29600,9.25,9.25,0.6099256277084351
01-06-1989,9.125,0.0,38700,9.375,9.25,0.6099256277084351
02-06-1989,9.25,0.0,42500,9.375,9.25,0.6099256277084351
05-06-1989,9.25,0.0,43300,9.5,9.5,0.6264105439186096
06-06-1989,9.375,0.0,19700,9.5,9.375,0.618167519569397
07-06-1989,9.375,0.0,49000,9.5,9.375,0.618167519569397
08-06-1989,9.5,0.0,51100,9.625,9.625,0.6346524953842163
09-06-1989,9.375,0.0,21400,9.625,9.5,0.6325221657752991
12-06-1989,9.5,0.0,19100,9.75,9.625,0.6408444046974182
13-06-1989,9.5,0.0,28000,9.75,9.5,0.6325221657752991
14-06-1989,9.5,0.0,41000,9.625,9.625,0.6408444046974182
15-06-1989,9.375,0.0,35100,9.625,9.375,0.6241990923881531
16-06-1989,9.375,0.0,17300,9.5,9.375,0.6241990923881531
19-06-1989,9.25,0.0,33200,9.5,9.375,0.6241990923881531
20-06-1989,9.25,0.0,23700,9.375,9.375,0.6241990923881531
21-06-1989,9.25,0.0,30500,9.5,9.5,0.6325221657752991
22-06-1989,9.25,0.0,39500,9.5,9.375,0.6241990923881531
23-06-1989,9.375,0.0,35600,9.5,9.375,0.6241990923881531
26-06-1989,9.25,0.0,16500,9.5,9.375,0.6241990923881531
27-06-1989,9.25,0.0,30100,9.5,9.5,0.6325221657752991
28-06-1989,9.375,0.0,12600,9.5,9.5,0.6325221657752991
29-06-1989,9.375,0.0,26400,9.5,9.5,0.6325221657752991
30-06-1989,9.25,9.375,28700,9.5,9.5,0.6325221657752991
03-07-1989,9.375,9.375,5600,9.5,9.5,0.6325221657752991
05-07-1989,9.375,9.375,12500,9.5,9.375,0.6241990923881531
06-07-1989,9.375,9.5,38800,9.5,9.375,0.6241990923881531
07-07-1989,9.5,9.5,24900,9.625,9.625,0.6408444046974182
10-07-1989,9.375,9.625,35300,9.625,9.375,0.6302893757820129
11-07-1989,9.375,9.5,31800,9.625,9.5,0.6386930346488953
12-07-1989,9.375,9.5,30200,9.625,9.5,0.6386930346488953
13-07-1989,9.5,9.5,26300,9.625,9.625,0.647097110748291
14-07-1989,9.375,9.5,23300,9.625,9.375,0.6302893757820129
17-07-1989,9.375,9.5,29000,9.5,9.5,0.6386930346488953
18-07-1989,9.375,9.5,20600,9.5,9.5,0.6386930346488953
19-07-1989,9.375,9.625,28900,9.625,9.5,0.6386930346488953
20-07-1989,9.5,9.625,24800,9.625,9.625,0.647097110748291
21-07-1989,9.5,9.625,30800,9.625,9.625,0.647097110748291
24-07-1989,9.5,9.625,24700,9.625,9.625,0.647097110748291
25-07-1989,9.375,9.5,36700,9.625,9.375,0.6302893757820129
26-07-1989,9.375,9.375,11600,9.5,9.375,0.6302893757820129
27-07-1989,9.375,9.5,26100,9.625,9.5,0.6386930346488953
28-07-1989,9.375,9.625,16700,9.625,9.5,0.6386930346488953
31-07-1989,9.375,9.5,32600,9.5,9.5,0.6386930346488953
01-08-1989,9.5,9.5,24000,9.625,9.625,0.647097110748291
02-08-1989,9.5,9.625,25200,9.625,9.625,0.647097110748291
03-08-1989,9.5,9.5,26400,9.75,9.625,0.647097110748291
04-08-1989,9.625,9.75,52500,9.75,9.625,0.647097110748291
07-08-1989,9.625,9.75,34600,9.875,9.875,0.6639043092727661
08-08-1989,9.75,9.75,49800,9.875,9.875,0.6639043092727661
09-08-1989,9.625,9.75,35000,9.875,9.625,0.6532494425773621
10-08-1989,9.5,9.625,25000,9.75,9.625,0.6532494425773621
11-08-1989,9.5,9.625,33400,9.75,9.5,0.6447652578353882
14-08-1989,9.5,9.625,39900,9.625,9.5,0.6447652578353882
15-08-1989,9.25,9.5,23100,9.625,9.625,0.6532494425773621
16-08-1989,9.5,9.625,22600,9.625,9.625,0.6532494425773621
17-08-1989,9.5,9.625,32000,9.625,9.625,0.6532494425773621
18-08-1989,9.5,9.5,20000,9.625,9.5,0.6447652578353882
21-08-1989,9.5,9.625,21500,9.625,9.5,0.6447652578353882
22-08-1989,9.5,9.5,27300,9.625,9.5,0.6447652578353882
23-08-1989,9.5,9.5,43200,9.75,9.625,0.6532494425773621
24-08-1989,9.625,9.75,26600,9.75,9.625,0.6532494425773621
25-08-1989,9.5,9.625,10700,9.75,9.625,0.6532494425773621
28-08-1989,9.5,9.625,17200,9.75,9.625,0.6532494425773621
29-08-1989,9.625,9.75,14900,9.75,9.625,0.6532494425773621
