Date,Low,Open,Volume,High,Close,Adjusted Close
28-03-1980,0.625,0.0,2400,0.671875,0.625,0.15464186668395996
31-03-1980,0.625,0.625,0,0.625,0.625,0.15464186668395996
01-04-1980,0.625,0.625,0,0.625,0.625,0.15464186668395996
02-04-1980,0.625,0.0,800,0.671875,0.625,0.15464186668395996
03-04-1980,0.625,0.625,0,0.625,0.625,0.15464186668395996
07-04-1980,0.625,0.0,2400,0.671875,0.625,0.15464186668395996
08-04-1980,0.625,0.625,0,0.625,0.625,0.15464186668395996
09-04-1980,0.625,0.625,0,0.625,0.625,0.15464186668395996
10-04-1980,0.625,0.625,0,0.625,0.625,0.15464186668395996
11-04-1980,0.640625,0.0,1600,0.6875,0.640625,0.15850786864757538
14-04-1980,0.640625,0.640625,0,0.640625,0.640625,0.15850786864757538
15-04-1980,0.59375,0.0,4000,0.640625,0.59375,0.14690972864627838
16-04-1980,0.59375,0.0,4000,0.640625,0.59375,0.14690972864627838
17-04-1980,0.59375,0.59375,0,0.59375,0.59375,0.14690972864627838
18-04-1980,0.59375,0.59375,0,0.59375,0.59375,0.14690972864627838
21-04-1980,0.59375,0.59375,0,0.59375,0.59375,0.14690972864627838
22-04-1980,0.59375,0.59375,0,0.59375,0.59375,0.14690972864627838
23-04-1980,0.59375,0.59375,0,0.59375,0.59375,0.14690972864627838
24-04-1980,0.59375,0.59375,0,0.59375,0.59375,0.14690972864627838
25-04-1980,0.59375,0.59375,0,0.59375,0.59375,0.14690972864627838
28-04-1980,0.59375,0.59375,0,0.59375,0.59375,0.14690972864627838
29-04-1980,0.546875,0.0,800,0.59375,0.546875,0.13531167805194855
30-04-1980,0.546875,0.546875,0,0.546875,0.546875,0.13531167805194855
01-05-1980,0.546875,0.546875,0,0.546875,0.546875,0.13531167805194855
02-05-1980,0.546875,0.0,1600,0.59375,0.546875,0.13531167805194855
05-05-1980,0.546875,0.546875,0,0.546875,0.546875,0.13531167805194855
06-05-1980,0.546875,0.0,3200,0.59375,0.546875,0.13531167805194855
07-05-1980,0.546875,0.546875,0,0.546875,0.546875,0.13531167805194855
08-05-1980,0.546875,0.546875,0,0.546875,0.546875,0.13531167805194855
09-05-1980,0.546875,0.546875,0,0.546875,0.546875,0.13531167805194855
12-05-1980,0.546875,0.546875,0,0.546875,0.546875,0.13531167805194855
13-05-1980,0.546875,0.546875,0,0.546875,0.546875,0.13531167805194855
14-05-1980,0.546875,0.546875,0,0.546875,0.546875,0.13531167805194855
15-05-1980,0.546875,0.546875,0,0.546875,0.546875,0.13531167805194855
16-05-1980,0.515625,0.0,800,0.5625,0.515625,0.12757955491542816
19-05-1980,0.515625,0.0,2400,0.5625,0.515625,0.12757955491542816
20-05-1980,0.515625,0.515625,0,0.515625,0.515625,0.12757955491542816
21-05-1980,0.515625,0.0,1600,0.5625,0.515625,0.12757955491542816
22-05-1980,0.515625,0.515625,0,0.515625,0.515625,0.12757955491542816
23-05-1980,0.515625,0.0,2400,0.5625,0.515625,0.12757955491542816
27-05-1980,0.515625,0.515625,0,0.515625,0.515625,0.12757955491542816
28-05-1980,0.515625,0.515625,0,0.515625,0.515625,0.12757955491542816
29-05-1980,0.515625,0.515625,0,0.515625,0.515625,0.12757955491542816
30-05-1980,0.515625,0.0,3200,0.5625,0.515625,0.12757955491542816
02-06-1980,0.515625,0.515625,0,0.515625,0.515625,0.12757955491542816
03-06-1980,0.515625,0.0,7200,0.5625,0.515625,0.12757955491542816
04-06-1980,0.53125,0.0,1600,0.578125,0.53125,0.13144558668136597
05-06-1980,0.53125,0.0,1600,0.578125,0.53125,0.13144558668136597
06-06-1980,0.53125,0.53125,0,0.53125,0.53125,0.13144558668136597
09-06-1980,0.5625,0.0,17600,0.609375,0.5625,0.1391775757074356
10-06-1980,0.5625,0.5625,0,0.5625,0.5625,0.1391775757074356
11-06-1980,0.5625,0.5625,0,0.5625,0.5625,0.1391775757074356
12-06-1980,0.578125,0.0,8000,0.625,0.578125,0.1430436372756958
13-06-1980,0.59375,0.0,800,0.640625,0.59375,0.14690972864627838
16-06-1980,0.59375,0.59375,0,0.59375,0.59375,0.14690972864627838
