Date,Low,Open,Volume,High,Close,Adjusted Close
09-03-1999,15.0,15.0,10000,15.5,15.5,4.096743106842041
10-03-1999,15.125,15.375,11700,15.375,15.3125,4.047183513641357
11-03-1999,15.3125,15.3125,700,15.3125,15.3125,4.047183513641357
12-03-1999,15.0625,15.0625,3400,15.1875,15.1875,4.014142036437988
15-03-1999,15.0,15.0,7100,15.25,15.25,4.03066349029541
16-03-1999,15.0,15.25,5000,15.25,15.0,3.9645893573760986
17-03-1999,14.875,15.0,400,15.0,14.875,3.9315526485443115
18-03-1999,15.0,15.0,1600,15.0,15.0,3.9645893573760986
19-03-1999,15.0,15.125,9200,15.1875,15.1875,4.014142036437988
22-03-1999,15.0,15.125,15200,15.3125,15.0,3.9645893573760986
23-03-1999,15.25,15.25,3300,15.25,15.25,4.03066349029541
24-03-1999,15.125,15.1875,2000,15.1875,15.125,3.9976272583007812
25-03-1999,15.25,15.25,100,15.25,15.25,4.03066349029541
26-03-1999,15.25,15.25,0,15.25,15.25,4.03066349029541
29-03-1999,15.25,15.25,600,15.25,15.25,4.03066349029541
30-03-1999,15.0625,15.125,4700,15.1875,15.0625,3.9811086654663086
31-03-1999,14.875,15.0,12100,15.0,14.875,3.9315526485443115
01-04-1999,14.875,14.875,2000,15.0625,15.0625,3.9811086654663086
05-04-1999,15.0,15.0,8000,15.125,15.125,3.9976272583007812
06-04-1999,15.0625,15.0625,1000,15.0625,15.0625,3.9811086654663086
07-04-1999,15.0,15.0,4600,15.0,15.0,3.9645893573760986
08-04-1999,14.875,15.0625,5800,15.0625,14.875,3.9315526485443115
09-04-1999,14.25,14.625,6400,14.625,14.25,3.7663586139678955
12-04-1999,13.8125,14.5,6300,14.5,13.8125,3.650725841522217
13-04-1999,13.75,13.75,8600,14.1875,14.0625,3.7168033123016357
14-04-1999,13.5,13.875,16300,14.0625,14.0625,3.7168033123016357
15-04-1999,14.0,14.0625,20400,14.125,14.125,3.733323574066162
16-04-1999,14.125,14.25,7400,14.375,14.375,3.799398899078369
19-04-1999,14.375,14.4375,3400,14.5,14.5,3.8324360847473145
20-04-1999,14.5625,14.625,1900,14.625,14.5625,3.848956346511841
21-04-1999,14.25,14.25,18700,15.375,15.25,4.03066349029541
22-04-1999,15.0,15.125,15900,15.1875,15.0,3.9645893573760986
23-04-1999,14.875,14.875,800,14.875,14.875,3.9315526485443115
26-04-1999,14.125,14.5,8200,14.5,14.125,3.733323574066162
27-04-1999,14.0,14.0,4400,14.25,14.25,3.7663586139678955
28-04-1999,14.25,14.25,6800,14.625,14.625,3.8654751777648926
29-04-1999,14.625,14.625,0,14.625,14.625,3.8654751777648926
30-04-1999,14.5,14.5,600,14.5,14.5,3.8324360847473145
03-05-1999,14.375,14.375,100,14.375,14.375,3.799398899078369
04-05-1999,14.375,14.5,1800,14.5,14.375,3.799398899078369
05-05-1999,14.3125,14.3125,1600,14.3125,14.3125,3.7828783988952637
06-05-1999,14.25,14.25,9800,14.5,14.3125,3.7828783988952637
07-05-1999,14.1875,14.1875,2400,14.4375,14.4375,3.8159170150756836
10-05-1999,13.5625,14.25,10300,14.25,13.8125,3.650725841522217
11-05-1999,13.75,13.8125,4700,13.9375,13.875,3.6672418117523193
12-05-1999,13.5625,14.0,23200,14.375,13.625,3.601168632507324
13-05-1999,13.6875,13.875,21000,14.125,14.125,3.733323574066162
14-05-1999,13.5,13.5,16100,13.75,13.5625,3.5846505165100098
17-05-1999,13.625,13.625,13600,14.0,13.75,3.6342077255249023
18-05-1999,13.5,13.875,19100,14.0,13.75,3.6342077255249023
19-05-1999,13.6875,13.6875,10400,13.75,13.75,3.6732089519500732
20-05-1999,13.5625,13.625,14300,13.9375,13.9375,3.7232978343963623
21-05-1999,13.75,14.0,2800,14.0,13.75,3.6732089519500732
24-05-1999,13.625,13.625,5500,13.75,13.625,3.6398167610168457
25-05-1999,13.5625,13.5625,5600,13.6875,13.6875,3.65651273727417
26-05-1999,13.625,13.625,2000,13.625,13.625,3.6398167610168457
27-05-1999,13.5,13.625,3100,13.625,13.5,3.606424331665039
28-05-1999,13.5,13.5,7100,13.625,13.5625,3.623122215270996
01-06-1999,13.625,13.6875,44700,14.125,13.625,3.6398167610168457
02-06-1999,13.25,13.5,16500,13.5,13.25,3.539639949798584
03-06-1999,13.3125,13.3125,2800,13.4375,13.4375,3.5897247791290283
04-06-1999,13.3125,13.3125,5300,13.5,13.5,3.606424331665039
07-06-1999,13.4375,13.5,1400,13.5,13.5,3.606424331665039
08-06-1999,13.5625,13.5625,12200,13.625,13.625,3.6398167610168457
09-06-1999,13.5625,13.625,6500,13.6875,13.6875,3.65651273727417
10-06-1999,13.625,13.6875,10900,13.75,13.625,3.6398167610168457
11-06-1999,13.4375,13.5625,12700,13.6875,13.4375,3.5897247791290283
14-06-1999,13.1875,13.3125,10600,13.375,13.375,3.573030471801758
15-06-1999,13.25,13.25,16700,13.4375,13.4375,3.5897247791290283
16-06-1999,13.375,13.5,10400,13.5625,13.5625,3.623122215270996
17-06-1999,13.5,13.5625,30900,14.125,14.0625,3.7566933631896973
18-06-1999,14.0,14.125,8000,14.125,14.0625,3.7566933631896973
21-06-1999,13.875,13.9375,4800,13.9375,13.875,3.7248783111572266
22-06-1999,13.5,13.8125,16900,13.8125,13.5,3.624206781387329
23-06-1999,13.25,13.5,16700,13.5,13.25,3.5570929050445557
24-06-1999,13.0625,13.3125,12400,13.3125,13.125,3.523533344268799
25-06-1999,12.875,13.125,28800,13.125,12.875,3.456416368484497
28-06-1999,12.9375,13.0,23100,13.0625,12.9375,3.4731969833374023
29-06-1999,12.9375,13.0,11000,13.0625,12.9375,3.4731969833374023
30-06-1999,12.9375,13.0,29600,13.0625,13.0625,3.5067546367645264
01-07-1999,13.125,13.125,36400,13.25,13.25,3.5570929050445557
02-07-1999,13.25,13.3125,6800,13.3125,13.25,3.5570929050445557
06-07-1999,13.1875,13.1875,16200,13.375,13.375,3.590648651123047
07-07-1999,13.3125,13.375,16100,13.4375,13.375,3.590648651123047
08-07-1999,13.5,13.5,13400,13.5,13.5,3.624206781387329
09-07-1999,13.375,13.4375,7000,13.4375,13.4375,3.607424736022949
12-07-1999,13.3125,13.375,14200,13.4375,13.3125,3.573868989944458
13-07-1999,13.125,13.25,38800,13.3125,13.1875,3.5403127670288086
14-07-1999,13.1875,13.25,16100,13.375,13.375,3.590648651123047
15-07-1999,13.3125,13.3125,13000,13.375,13.375,3.590648651123047
16-07-1999,13.3125,13.375,5000,13.375,13.375,3.590648651123047
19-07-1999,13.3125,13.4375,8800,13.4375,13.3125,3.573868989944458
20-07-1999,13.125,13.25,45100,13.3125,13.1875,3.5403127670288086
21-07-1999,12.9375,13.0,12100,13.0,12.9375,3.4917311668395996
22-07-1999,12.9375,12.9375,5800,13.0,13.0,3.508599042892456
23-07-1999,12.875,12.875,6800,12.875,12.875,3.4748616218566895
26-07-1999,12.75,12.875,11000,12.9375,12.8125,3.4579977989196777
27-07-1999,12.75,12.8125,12000,12.875,12.75,3.441131830215454
28-07-1999,12.75,12.75,13900,12.875,12.75,3.441131830215454
29-07-1999,12.75,12.8125,11200,12.875,12.75,3.441131830215454
30-07-1999,12.6875,12.6875,29900,12.9375,12.9375,3.4917311668395996
02-08-1999,12.9375,12.9375,4700,13.0,13.0,3.508599042892456
03-08-1999,12.875,12.875,15400,12.9375,12.9375,3.4917311668395996
04-08-1999,12.8125,12.9375,28800,13.0,12.8125,3.4579977989196777
05-08-1999,12.75,12.8125,14200,12.8125,12.75,3.441131830215454
06-08-1999,12.4375,12.8125,24200,12.8125,12.5625,3.3905248641967773
09-08-1999,12.3125,12.4375,16700,12.4375,12.3125,3.323049306869507
10-08-1999,12.0625,12.3125,60700,12.375,12.125,3.272444725036621
11-08-1999,12.125,12.125,21900,12.625,12.375,3.3399171829223633
12-08-1999,12.375,12.5,23900,12.5,12.5,3.3736531734466553
13-08-1999,12.25,12.375,21100,12.375,12.375,3.3399171829223633
16-08-1999,12.0,12.3125,27000,12.3125,12.0625,3.2555768489837646
17-08-1999,12.0625,12.0625,46700,12.5,12.5,3.3736531734466553
18-08-1999,12.4375,12.5625,18000,12.625,12.4375,3.3567888736724854
19-08-1999,11.5625,12.375,33100,12.375,11.8125,3.206146001815796
20-08-1999,12.0,12.0,34900,12.3125,12.125,3.290966749191284
23-08-1999,12.0,12.125,38500,12.1875,12.0,3.2570393085479736
24-08-1999,12.0625,12.125,32400,12.1875,12.125,3.290966749191284
25-08-1999,12.1875,12.1875,47700,12.6875,12.6875,3.44364070892334
