Date,Low,Open,Volume,High,Close,Adjusted Close
09-10-1991,20.25,20.375,83400,20.5,20.375,2.292659282684326
10-10-1991,20.375,20.375,47500,20.5,20.375,2.292659282684326
11-10-1991,20.375,20.375,5000,20.5,20.375,2.292659282684326
14-10-1991,20.375,20.375,2000,20.375,20.375,2.292659282684326
15-10-1991,20.375,20.375,26100,20.625,20.625,2.3207900524139404
16-10-1991,20.625,20.625,11200,20.75,20.625,2.3207900524139404
17-10-1991,20.375,20.625,51900,21.125,20.875,2.3489208221435547
18-10-1991,20.875,20.875,9800,21.25,20.875,2.3489208221435547
21-10-1991,20.375,20.875,27600,21.0,20.5,2.3067233562469482
22-10-1991,20.5,20.5,11600,20.75,20.5,2.3067233562469482
23-10-1991,20.5,20.5,8000,20.625,20.5,2.3067233562469482
24-10-1991,20.375,20.5,6600,20.625,20.375,2.292659282684326
25-10-1991,20.375,20.375,10700,20.5,20.375,2.292659282684326
28-10-1991,20.375,20.375,5700,20.5,20.375,2.292659282684326
29-10-1991,20.375,20.375,5600,20.5,20.375,2.292659282684326
30-10-1991,20.375,20.375,3000,20.375,20.375,2.292659282684326
31-10-1991,20.375,20.375,2400,20.375,20.375,2.292659282684326
01-11-1991,20.125,20.375,5600,20.375,20.375,2.292659282684326
04-11-1991,20.0,20.25,5200,20.25,20.125,2.264528512954712
05-11-1991,20.25,20.25,27400,20.375,20.25,2.2785940170288086
06-11-1991,20.375,20.375,33000,20.5,20.375,2.292659282684326
07-11-1991,20.25,20.375,28400,20.5,20.5,2.3067233562469482
08-11-1991,20.625,20.625,10100,20.75,20.75,2.334855556488037
11-11-1991,20.5,20.75,5100,20.75,20.75,2.334855556488037
12-11-1991,20.625,20.75,2800,20.75,20.75,2.334855556488037
13-11-1991,20.625,20.75,10900,20.875,20.75,2.334855556488037
14-11-1991,20.75,20.75,5800,20.875,20.875,2.3489208221435547
15-11-1991,20.875,20.875,17700,21.25,20.875,2.3489208221435547
18-11-1991,20.375,20.75,5700,20.75,20.75,2.334855556488037
19-11-1991,20.625,20.75,3500,20.75,20.75,2.334855556488037
20-11-1991,20.625,20.75,2300,20.75,20.75,2.334855556488037
21-11-1991,20.75,20.75,11600,20.875,20.875,2.3489208221435547
22-11-1991,20.875,20.875,10000,21.0,21.0,2.3629868030548096
25-11-1991,21.0,21.0,5900,21.125,21.125,2.377051830291748
26-11-1991,21.25,21.25,8900,21.375,21.25,2.3911185264587402
27-11-1991,21.25,21.25,3500,21.25,21.25,2.3911185264587402
29-11-1991,21.0,21.25,8400,21.375,21.375,2.405181407928467
02-12-1991,21.0,21.125,8200,21.125,21.0,2.3629868030548096
03-12-1991,21.125,21.125,5000,21.375,21.375,2.405181407928467
04-12-1991,21.375,21.375,2600,21.375,21.375,2.405181407928467
05-12-1991,21.125,21.375,3500,21.5,21.125,2.377051830291748
06-12-1991,20.875,21.0,6000,21.0,21.0,2.3629868030548096
09-12-1991,21.0,21.0,3100,21.125,21.0,2.3629868030548096
10-12-1991,20.875,21.0,1700,21.0,21.0,2.3629868030548096
11-12-1991,21.0,21.0,41700,21.0,21.0,2.3629868030548096
12-12-1991,21.0,21.0,15500,21.0,21.0,2.3629868030548096
13-12-1991,21.0,21.0,25700,21.125,21.0,2.3629868030548096
16-12-1991,21.0,21.0,13900,21.25,21.25,2.3911185264587402
17-12-1991,21.125,21.25,18100,21.25,21.25,2.3911185264587402
18-12-1991,21.375,21.375,2800,21.375,21.375,2.405181407928467
19-12-1991,21.25,21.375,20900,21.375,21.375,2.405181407928467
20-12-1991,21.5,21.5,22800,21.75,21.625,2.4333136081695557
23-12-1991,21.75,21.75,22700,22.0,22.0,2.47550892829895
24-12-1991,21.625,21.875,21000,21.875,21.75,2.495009660720825
26-12-1991,21.75,21.75,20000,22.125,22.125,2.538027286529541
27-12-1991,22.125,22.125,32700,22.5,22.5,2.581045150756836
30-12-1991,22.625,22.625,46900,23.5,23.5,2.69575834274292
31-12-1991,23.625,23.625,17800,24.125,24.0,2.75311541557312
02-01-1992,23.0,24.0,33200,24.125,24.125,2.7674546241760254
03-01-1992,23.75,24.125,8600,24.125,24.0,2.75311541557312
06-01-1992,23.875,24.0,5100,24.375,24.375,2.7961325645446777
07-01-1992,24.25,24.375,11300,24.5,24.5,2.8104708194732666
08-01-1992,24.25,24.5,8900,24.5,24.375,2.7961325645446777
09-01-1992,24.5,24.5,19300,24.625,24.5,2.8104708194732666
10-01-1992,24.5,24.5,13500,24.625,24.625,2.8248109817504883
13-01-1992,24.75,24.75,8100,24.875,24.875,2.8534891605377197
14-01-1992,24.75,24.875,11800,24.875,24.875,2.8534891605377197
15-01-1992,24.75,24.875,11900,25.0,24.75,2.839149236679077
16-01-1992,24.375,24.75,55700,25.0,24.75,2.839149236679077
17-01-1992,24.75,24.75,7800,24.875,24.875,2.8534891605377197
20-01-1992,24.875,24.875,72900,24.875,24.875,2.8534891605377197
21-01-1992,24.5,24.875,31300,24.875,24.625,2.8248109817504883
22-01-1992,24.625,24.625,3500,24.625,24.625,2.8248109817504883
23-01-1992,24.5,24.625,1000,24.625,24.625,2.8248109817504883
24-01-1992,24.625,24.625,4500,24.75,24.75,2.839149236679077
27-01-1992,24.5,24.75,23200,24.75,24.5,2.8104708194732666
28-01-1992,24.5,24.5,4900,24.625,24.5,2.8104708194732666
29-01-1992,24.5,24.5,1100,24.5,24.5,2.8104708194732666
30-01-1992,24.25,24.5,2000,24.5,24.375,2.7961325645446777
31-01-1992,24.0,24.25,2700,24.25,24.0,2.75311541557312
03-02-1992,23.75,23.875,4400,23.875,23.75,2.7244367599487305
04-02-1992,23.875,23.875,25800,24.0,23.875,2.7387757301330566
05-02-1992,24.0,24.0,400,24.0,24.0,2.75311541557312
06-02-1992,24.0,24.0,1600,24.125,24.125,2.7674546241760254
07-02-1992,24.0,24.125,4900,24.25,24.25,2.7817931175231934
10-02-1992,24.125,24.25,3300,24.375,24.375,2.7961325645446777
11-02-1992,24.25,24.375,35400,24.5,24.375,2.7961325645446777
12-02-1992,24.25,24.375,2300,24.5,24.5,2.8104708194732666
13-02-1992,24.25,24.5,4800,24.5,24.25,2.7817931175231934
14-02-1992,24.25,24.25,10800,24.5,24.5,2.8104708194732666
18-02-1992,24.25,24.5,5100,24.5,24.375,2.7961325645446777
19-02-1992,24.0,24.25,9300,24.25,24.125,2.7674546241760254
20-02-1992,23.5,24.0,7500,24.0,23.75,2.7244367599487305
21-02-1992,23.5,23.75,5400,23.75,23.625,2.7100977897644043
24-02-1992,23.25,23.625,4400,23.625,23.25,2.6670801639556885
25-02-1992,23.125,23.25,2200,23.25,23.25,2.6670801639556885
26-02-1992,23.25,23.375,26600,23.5,23.25,2.6670801639556885
27-02-1992,23.25,23.375,700,23.375,23.25,2.6670801639556885
28-02-1992,23.25,23.375,1300,23.625,23.375,2.681419849395752
02-03-1992,23.25,23.25,1700,23.375,23.375,2.681419849395752
03-03-1992,23.25,23.5,1900,23.5,23.375,2.681419849395752
