Date,Low,Open,Volume,High,Close,Adjusted Close
15-12-1989,12.0,12.0,68500,12.0,12.0,0.8680327534675598
18-12-1989,12.0,12.0,17500,12.0,12.0,0.8680327534675598
19-12-1989,12.0,12.0,10700,12.0,12.0,0.8680327534675598
20-12-1989,12.0,12.0,47500,12.0,12.0,0.8680327534675598
21-12-1989,12.0,12.0,3900,12.0,12.0,0.8680327534675598
22-12-1989,12.0,12.0,2000,12.125,12.125,0.8770750761032104
26-12-1989,12.0,12.125,3200,12.125,12.125,0.8770750761032104
27-12-1989,12.0,12.125,14600,12.125,12.0,0.8680327534675598
28-12-1989,12.0,12.0,6100,12.125,12.125,0.8770750761032104
29-12-1989,12.0,12.125,16500,12.125,12.125,0.8770750761032104
02-01-1990,12.0,12.125,49400,12.125,12.125,0.8770750761032104
03-01-1990,12.0,12.125,3500,12.125,12.125,0.8770750761032104
04-01-1990,12.0,12.125,7700,12.125,12.125,0.8770750761032104
05-01-1990,12.0,12.125,17800,12.125,12.0,0.8680327534675598
08-01-1990,12.0,12.0,10200,12.125,12.0,0.8680327534675598
09-01-1990,12.0,12.0,6600,12.125,12.125,0.8770750761032104
10-01-1990,12.0,12.125,10900,12.125,12.0,0.8680327534675598
11-01-1990,12.0,12.0,15600,12.125,12.0,0.8680327534675598
12-01-1990,12.0,12.0,10200,12.125,12.0,0.8680327534675598
15-01-1990,12.0,12.0,35500,12.125,12.0,0.8680327534675598
16-01-1990,12.0,12.0,84300,12.0,12.0,0.8680327534675598
17-01-1990,12.0,12.0,130900,12.125,12.0,0.8680327534675598
18-01-1990,12.0,12.0,9200,12.125,12.0,0.8680327534675598
19-01-1990,12.0,12.0,120800,12.125,12.0,0.8680327534675598
22-01-1990,12.0,12.0,12600,12.125,12.0,0.8680327534675598
23-01-1990,12.0,12.0,26400,12.125,12.125,0.8770750761032104
24-01-1990,12.0,12.125,140400,12.125,12.0,0.8680327534675598
25-01-1990,12.0,12.0,32200,12.125,12.0,0.8680327534675598
26-01-1990,12.0,12.0,16000,12.0,12.0,0.8680327534675598
29-01-1990,12.0,12.0,7800,12.125,12.0,0.8680327534675598
30-01-1990,11.875,12.0,29900,12.125,11.875,0.858991265296936
31-01-1990,11.875,11.875,5500,12.0,11.875,0.858991265296936
01-02-1990,11.75,11.875,54500,11.875,11.75,0.8499497771263123
02-02-1990,11.75,11.75,4600,11.75,11.75,0.8499497771263123
05-02-1990,11.75,11.75,1200,11.875,11.875,0.858991265296936
06-02-1990,11.75,11.875,5100,11.875,11.75,0.8499497771263123
07-02-1990,11.5,11.75,26600,11.75,11.5,0.831865131855011
08-02-1990,11.375,11.5,18100,11.5,11.375,0.8228235840797424
09-02-1990,11.25,11.375,7800,11.5,11.375,0.8228235840797424
12-02-1990,11.25,11.375,4200,11.375,11.375,0.8228235840797424
13-02-1990,11.375,11.375,6800,11.5,11.5,0.831865131855011
14-02-1990,11.25,11.5,12100,11.625,11.25,0.8137813806533813
15-02-1990,11.375,11.375,23400,11.75,11.5,0.831865131855011
16-02-1990,11.375,11.5,20500,11.875,11.875,0.858991265296936
20-02-1990,11.75,11.875,15300,11.875,11.75,0.8499497771263123
21-02-1990,11.625,11.75,27000,11.875,11.75,0.8499497771263123
22-02-1990,11.625,11.75,8200,11.875,11.75,0.8499497771263123
23-02-1990,11.625,11.625,6100,11.625,11.625,0.840907633304596
