Date,Low,Open,Volume,High,Close,Adjusted Close
04-08-1995,16.0,16.0,939900,17.25,17.125,1.9322081804275513
07-08-1995,16.75,16.75,176300,18.25,17.0,1.918104887008667
08-08-1995,17.0,17.5,75600,17.75,17.375,1.9604151248931885
09-08-1995,17.5,17.5,88900,18.0,18.0,2.030935525894165
10-08-1995,17.5,17.5,34500,17.625,17.5,1.9745192527770996
11-08-1995,17.5,17.5,14600,18.0,17.625,1.9886236190795898
14-08-1995,16.875,18.0,30000,18.0,16.875,1.904000997543335
15-08-1995,16.875,16.875,24100,17.5,16.875,1.904000997543335
16-08-1995,17.0,17.125,7100,17.5,17.5,1.9745192527770996
17-08-1995,17.125,17.5,28300,17.5,17.5,1.9745192527770996
18-08-1995,17.0,17.5,5600,17.5,17.25,1.9463119506835938
21-08-1995,17.0,17.0,11900,17.5,17.375,1.9604151248931885
22-08-1995,17.0,17.0,125400,18.25,18.0,2.030935525894165
23-08-1995,17.5,18.0,99000,18.25,18.25,2.0591421127319336
24-08-1995,17.75,18.25,128600,19.5,19.0,2.1437642574310303
25-08-1995,19.0,19.125,48500,19.25,19.0,2.1437642574310303
28-08-1995,19.0,19.0,47800,19.25,19.125,2.1578683853149414
29-08-1995,19.0,19.0,51600,19.25,19.125,2.1578683853149414
30-08-1995,19.0,19.0,61400,20.0,19.875,2.242490530014038
31-08-1995,19.5,19.5,171800,20.75,20.25,2.284801483154297
01-09-1995,20.25,20.75,163400,20.75,20.75,2.3412158489227295
05-09-1995,20.5,20.75,20400,21.0,20.5,2.3130083084106445
06-09-1995,20.5,20.625,39100,20.875,20.625,2.3271121978759766
07-09-1995,20.5,20.5,43200,21.0,20.5,2.3130083084106445
08-09-1995,20.5,20.5,13800,21.0,20.875,2.3553197383880615
11-09-1995,20.75,21.0,123600,22.375,22.0,2.4822537899017334
12-09-1995,21.5,22.25,301600,22.25,21.875,2.4681501388549805
13-09-1995,21.625,22.0,45700,22.25,21.625,2.439941644668579
14-09-1995,21.5,21.625,63200,21.625,21.5,2.425837755203247
15-09-1995,21.5,21.5,400,21.5,21.5,2.425837755203247
18-09-1995,21.25,21.75,12900,21.75,21.5,2.425837755203247
19-09-1995,21.25,21.3125,51800,21.5,21.5,2.425837755203247
20-09-1995,21.25,21.25,69600,21.75,21.25,2.3976306915283203
21-09-1995,20.75,21.0,57700,21.25,21.0,2.3694229125976562
22-09-1995,20.5,21.0625,34900,21.25,20.5,2.3130083084106445
25-09-1995,20.25,20.5,31500,20.875,20.375,2.298906087875366
26-09-1995,19.75,19.75,19900,20.25,20.25,2.284801483154297
27-09-1995,19.5,19.5,32600,19.875,19.875,2.264859199523926
28-09-1995,19.25,19.5,58000,20.25,20.0,2.2791035175323486
29-09-1995,20.0,20.25,13900,20.25,20.125,2.293348550796509
