Date,Low,Open,Volume,High,Close,Adjusted Close
26-05-1994,2.90625,3.03125,6171600,3.0625,3.03125,2.354905128479004
27-05-1994,3.0,3.0625,1580800,3.1875,3.15625,2.452014684677124
31-05-1994,3.09375,3.1875,149600,3.1875,3.125,2.427736282348633
01-06-1994,3.0,3.1875,198400,3.1875,3.0,2.33062744140625
02-06-1994,3.03125,3.125,132400,3.125,3.03125,2.354905128479004
03-06-1994,3.0,3.0625,58000,3.0625,3.03125,2.354905128479004
06-06-1994,3.0,3.0,10400,3.09375,3.09375,2.403458833694458
07-06-1994,3.0,3.0625,79200,3.0625,3.0,2.33062744140625
08-06-1994,3.0,3.0625,78800,3.0625,3.0625,2.3791823387145996
09-06-1994,3.0,3.0625,14800,3.0625,3.0625,2.3791823387145996
10-06-1994,3.03125,3.0625,32000,3.125,3.125,2.427736282348633
13-06-1994,3.03125,3.125,36000,3.125,3.0625,2.3791823387145996
14-06-1994,3.03125,3.125,22400,3.125,3.03125,2.354905128479004
15-06-1994,3.0,3.09375,112800,3.09375,3.0,2.33062744140625
16-06-1994,3.0625,3.09375,100800,3.125,3.0625,2.3791823387145996
17-06-1994,3.0625,3.125,54000,3.125,3.0625,2.3791823387145996
20-06-1994,3.0625,3.09375,4400,3.09375,3.0625,2.3791823387145996
21-06-1994,3.0,3.0625,152400,3.0625,3.0,2.33062744140625
22-06-1994,3.0,3.0,330000,3.0625,3.0625,2.3791823387145996
23-06-1994,2.96875,3.03125,52400,3.03125,2.96875,2.306349039077759
24-06-1994,2.96875,3.03125,80000,3.03125,2.96875,2.306349039077759
27-06-1994,2.875,3.03125,192400,3.03125,2.875,2.2335174083709717
28-06-1994,2.96875,2.96875,6000,2.96875,2.96875,2.306349039077759
29-06-1994,2.875,2.875,4400,2.875,2.875,2.2335174083709717
30-06-1994,2.96875,2.96875,1600,2.96875,2.96875,2.306349039077759
01-07-1994,2.96875,2.96875,4000,2.96875,2.96875,2.306349039077759
05-07-1994,2.875,2.96875,5200,2.96875,2.96875,2.306349039077759
06-07-1994,2.875,2.875,190800,2.96875,2.875,2.2335174083709717
07-07-1994,2.875,2.875,0,2.875,2.875,2.2335174083709717
08-07-1994,2.96875,2.96875,3200,2.96875,2.96875,2.306349039077759
11-07-1994,2.90625,2.96875,20400,2.96875,2.96875,2.306349039077759
12-07-1994,2.96875,2.96875,16000,2.96875,2.96875,2.306349039077759
13-07-1994,2.96875,2.96875,0,2.96875,2.96875,2.306349039077759
14-07-1994,2.90625,2.96875,12400,2.96875,2.90625,2.257795572280884
15-07-1994,2.875,2.875,270800,2.96875,2.96875,2.306349039077759
18-07-1994,2.875,2.875,6000,3.0,3.0,2.33062744140625
19-07-1994,2.875,3.0,41600,3.015625,3.0,2.33062744140625
20-07-1994,3.0,3.0625,162400,3.0625,3.0625,2.3791823387145996
21-07-1994,3.03125,3.03125,40000,3.03125,3.03125,2.354905128479004
22-07-1994,3.0625,3.0625,400,3.0625,3.0625,2.3791823387145996
25-07-1994,2.96875,3.0,4000,3.0,2.96875,2.306349039077759
26-07-1994,3.0,3.0,79600,3.0625,3.0625,2.3791823387145996
27-07-1994,2.9375,2.96875,421200,3.03125,2.9375,2.282071828842163
28-07-1994,3.03125,3.03125,2400,3.03125,3.03125,2.354905128479004
29-07-1994,3.0,3.0,5600,3.03125,3.03125,2.354905128479004
01-08-1994,3.03125,3.03125,0,3.03125,3.03125,2.354905128479004
02-08-1994,2.96875,3.0,300000,3.015625,3.015625,2.3427655696868896
03-08-1994,2.96875,3.0,70000,3.0,2.96875,2.306349039077759
04-08-1994,2.96875,2.96875,44000,2.96875,2.96875,2.306349039077759
05-08-1994,2.71875,2.9375,1578400,2.9375,2.75,2.1364071369171143
08-08-1994,2.84375,2.84375,8800,2.90625,2.90625,2.257795572280884
09-08-1994,2.8125,2.90625,76800,2.90625,2.8125,2.1849632263183594
10-08-1994,2.78125,2.875,41200,2.875,2.78125,2.1606857776641846
11-08-1994,2.78125,2.78125,0,2.78125,2.78125,2.1606857776641846
12-08-1994,2.78125,2.78125,43200,2.84375,2.84375,2.209240436553955
15-08-1994,2.75,2.84375,8800,2.84375,2.75,2.1364071369171143
16-08-1994,2.75,2.75,3200,2.75,2.75,2.1364071369171143
17-08-1994,2.75,2.75,4000,2.84375,2.84375,2.209240436553955
18-08-1994,2.84375,2.84375,1200,2.84375,2.84375,2.209240436553955
19-08-1994,2.84375,2.84375,1600,2.84375,2.84375,2.209240436553955
22-08-1994,2.75,2.75,5200,2.875,2.875,2.2335174083709717
23-08-1994,2.8125,2.875,8400,2.875,2.8125,2.1849632263183594
24-08-1994,2.75,2.875,6000,2.875,2.75,2.1364071369171143
25-08-1994,2.75,2.75,0,2.75,2.75,2.1364071369171143
26-08-1994,2.75,2.75,10800,2.875,2.875,2.2335174083709717
29-08-1994,2.75,2.8125,53200,2.875,2.84375,2.209240436553955
30-08-1994,2.8125,2.875,800,2.875,2.8125,2.1849632263183594
31-08-1994,2.875,2.875,4000,2.875,2.875,2.2335174083709717
01-09-1994,2.8125,2.8125,214800,2.875,2.84375,2.209240436553955
02-09-1994,2.875,2.875,5200,2.875,2.875,2.2335174083709717
06-09-1994,2.8125,2.8125,400,2.8125,2.8125,2.1849632263183594
07-09-1994,2.8125,2.84375,11200,2.84375,2.8125,2.1849632263183594
08-09-1994,2.796875,2.796875,242800,2.875,2.875,2.2335174083709717
09-09-1994,2.8125,2.875,1600,2.875,2.8125,2.1849632263183594
12-09-1994,2.8125,2.875,6400,2.875,2.8125,2.1849632263183594
13-09-1994,2.84375,2.84375,1600,2.84375,2.84375,2.209240436553955
14-09-1994,2.8125,2.8125,400,2.8125,2.8125,2.1849632263183594
15-09-1994,2.8125,2.8125,1600,2.875,2.875,2.2335174083709717
16-09-1994,2.875,2.875,0,2.875,2.875,2.2335174083709717
19-09-1994,2.78125,2.875,76400,2.875,2.78125,2.1606857776641846
20-09-1994,2.6875,2.78125,69600,2.8125,2.71875,2.1121299266815186
21-09-1994,2.625,2.6875,48400,2.6875,2.65625,2.0635764598846436
22-09-1994,2.75,2.75,4000,2.75,2.75,2.1364071369171143
23-09-1994,2.5625,2.75,151200,2.75,2.5625,1.9907433986663818
26-09-1994,2.5625,2.59375,50000,2.625,2.625,2.0392980575561523
27-09-1994,2.4375,2.5,96000,2.5,2.46875,1.917911410331726
28-09-1994,2.5625,2.5625,60000,2.625,2.625,2.0392980575561523
29-09-1994,2.625,2.625,0,2.625,2.625,2.0392980575561523
30-09-1994,2.59375,2.6875,58400,2.6875,2.59375,2.015021324157715
03-10-1994,2.625,2.65625,14800,2.6875,2.6875,2.0878546237945557
04-10-1994,2.6875,2.6875,0,2.6875,2.6875,2.0878546237945557
05-10-1994,2.59375,2.59375,137200,2.6875,2.6875,2.0878546237945557
06-10-1994,2.5625,2.59375,339600,2.6875,2.625,2.0392980575561523
07-10-1994,2.625,2.625,0,2.625,2.625,2.0392980575561523
10-10-1994,2.6875,2.6875,4400,2.6875,2.6875,2.0878546237945557
11-10-1994,2.59375,2.59375,306400,2.875,2.875,2.2335174083709717
12-10-1994,2.84375,2.84375,26000,2.875,2.875,2.2335174083709717
13-10-1994,2.875,2.9375,60400,3.0,2.875,2.2335174083709717
14-10-1994,2.8125,2.875,40400,2.875,2.84375,2.209240436553955
17-10-1994,2.78125,2.78125,20800,2.84375,2.84375,2.209240436553955
18-10-1994,2.8125,2.8125,35600,2.8125,2.8125,2.1849632263183594
19-10-1994,2.8125,2.8125,0,2.8125,2.8125,2.1849632263183594
20-10-1994,2.8125,2.8125,0,2.8125,2.8125,2.1849632263183594
21-10-1994,2.875,2.875,800,2.875,2.875,2.2335174083709717
24-10-1994,2.84375,2.875,26400,2.875,2.875,2.2335174083709717
25-10-1994,2.84375,2.84375,4000,2.84375,2.84375,2.209240436553955
26-10-1994,2.78125,2.78125,18000,2.8125,2.8125,2.1849632263183594
27-10-1994,2.78125,2.78125,800,2.78125,2.78125,2.1606857776641846
28-10-1994,2.875,2.875,400,2.875,2.875,2.2335174083709717
31-10-1994,2.78125,2.875,8400,2.875,2.78125,2.1606857776641846
01-11-1994,2.78125,2.78125,0,2.78125,2.78125,2.1606857776641846
02-11-1994,2.78125,2.78125,9600,2.84375,2.8125,2.1849632263183594
03-11-1994,2.78125,2.84375,9200,2.84375,2.78125,2.1606857776641846
04-11-1994,2.75,2.78125,46000,2.78125,2.75,2.1364071369171143
07-11-1994,2.71875,2.71875,43600,2.75,2.75,2.1364071369171143
