Date,Low,Open,Volume,High,Close,Adjusted Close
19-08-1987,7.375,0.0,2043600,7.375,7.375,0.9695739150047302
20-08-1987,7.375,0.0,507600,7.4375,7.375,0.9695739150047302
21-08-1987,7.375,0.0,308200,7.4375,7.375,0.9695739150047302
24-08-1987,7.375,0.0,244600,7.4375,7.375,0.9695739150047302
25-08-1987,7.0625,0.0,233800,7.375,7.1875,0.9449236989021301
26-08-1987,7.0625,0.0,148600,7.25,7.1875,0.9449236989021301
27-08-1987,6.875,0.0,95800,7.125,7.0,0.9202736020088196
28-08-1987,6.8125,0.0,42200,7.0,6.9375,0.9120569825172424
31-08-1987,6.5,0.0,132000,6.9375,6.9375,0.9120569825172424
01-09-1987,6.75,0.0,64600,6.9375,6.75,0.8874067068099976
02-09-1987,6.625,0.0,62000,6.875,6.75,0.8874067068099976
03-09-1987,6.6875,0.0,31600,6.8125,6.8125,0.895623505115509
04-09-1987,6.6875,0.0,44400,6.9375,6.9375,0.9120569825172424
08-09-1987,6.875,0.0,33200,7.0,7.0,0.9202736020088196
09-09-1987,6.875,0.0,61600,7.0625,7.0625,0.928490161895752
10-09-1987,6.9375,0.0,34200,7.125,6.9375,0.9120569825172424
11-09-1987,6.75,0.0,56200,7.0625,6.75,0.8874067068099976
14-09-1987,6.8125,0.0,44000,7.0625,6.8125,0.895623505115509
15-09-1987,6.8125,0.0,23000,7.0,6.8125,0.895623505115509
16-09-1987,6.75,0.0,51600,7.0,6.875,0.9038403630256653
17-09-1987,6.625,0.0,34000,6.9375,6.625,0.8709735870361328
18-09-1987,6.5,0.0,76800,6.6875,6.5625,0.8627565503120422
21-09-1987,6.5,0.0,51600,6.625,6.5,0.8545398116111755
22-09-1987,6.5625,0.0,44000,6.75,6.6875,0.8791900873184204
23-09-1987,6.625,0.0,63400,6.8125,6.8125,0.895623505115509
24-09-1987,6.6875,0.0,33800,6.8125,6.75,0.8874067068099976
25-09-1987,6.625,0.0,40200,6.8125,6.75,0.8874067068099976
28-09-1987,6.75,0.0,58000,6.875,6.8125,0.895623505115509
29-09-1987,6.875,0.0,81200,7.0625,6.9375,0.9120569825172424
30-09-1987,6.875,0.0,38600,7.125,7.125,0.9367072582244873
01-10-1987,7.0625,0.0,68800,7.25,7.0625,0.928490161895752
02-10-1987,7.0625,0.0,36200,7.25,7.125,0.9367072582244873
05-10-1987,6.9375,0.0,39400,7.125,7.125,0.9367072582244873
06-10-1987,7.125,0.0,22200,7.1875,7.1875,0.9449236989021301
07-10-1987,6.8125,0.0,48200,7.125,6.8125,0.895623505115509
08-10-1987,6.75,0.0,57000,7.125,7.0625,0.928490161895752
09-10-1987,6.8125,0.0,27000,7.125,6.9375,0.9120569825172424
12-10-1987,6.8125,0.0,29000,7.0625,6.9375,0.9120569825172424
13-10-1987,6.75,0.0,29600,6.9375,6.875,0.9038403630256653
14-10-1987,6.6875,0.0,36200,6.875,6.75,0.8874067068099976
15-10-1987,6.625,0.0,42400,6.875,6.625,0.8709735870361328
16-10-1987,6.375,0.0,91200,6.75,6.375,0.8381062746047974
19-10-1987,5.0625,0.0,236000,6.0625,5.25,0.690205454826355
20-10-1987,3.875,0.0,245800,5.5,4.875,0.6409047842025757
21-10-1987,5.125,0.0,107400,6.125,5.75,0.7559388279914856
22-10-1987,4.8125,0.0,88600,5.5,5.3125,0.6984218955039978
