Date,Low,Open,Volume,High,Close,Adjusted Close
22-02-1973,4.25,4.25,800,4.25,4.25,1.4445500373840332
23-02-1973,4.25,4.25,800,4.25,4.25,1.4445500373840332
26-02-1973,4.25,4.25,800,4.25,4.25,1.4445500373840332
27-02-1973,4.25,4.25,0,4.25,4.25,1.4445500373840332
28-02-1973,4.25,4.25,0,4.25,4.25,1.4445500373840332
01-03-1973,4.25,4.25,4000,4.25,4.25,1.4445500373840332
02-03-1973,4.25,4.25,0,4.25,4.25,1.4445500373840332
05-03-1973,4.25,4.25,800,4.25,4.25,1.4445500373840332
06-03-1973,4.375,4.375,4800,4.375,4.375,1.4870365858078003
07-03-1973,4.375,4.375,800,4.375,4.375,1.4870365858078003
08-03-1973,4.375,4.375,23200,4.375,4.375,1.4870365858078003
09-03-1973,4.375,4.375,0,4.375,4.375,1.4870365858078003
12-03-1973,4.375,4.375,0,4.375,4.375,1.4870365858078003
13-03-1973,4.375,4.375,4800,4.375,4.375,1.4870365858078003
14-03-1973,4.375,4.375,2400,4.375,4.375,1.4870365858078003
15-03-1973,4.375,4.375,1600,4.375,4.375,1.4870365858078003
16-03-1973,4.375,4.375,8000,4.375,4.375,1.4870365858078003
19-03-1973,4.375,4.375,0,4.375,4.375,1.4870365858078003
20-03-1973,4.375,4.375,0,4.375,4.375,1.4870365858078003
21-03-1973,4.25,4.25,6400,4.25,4.25,1.4445500373840332
22-03-1973,4.0625,4.0625,6400,4.0625,4.0625,1.3808207511901855
23-03-1973,4.0625,4.0625,0,4.0625,4.0625,1.3808207511901855
26-03-1973,4.125,4.125,4000,4.125,4.125,1.4020637273788452
27-03-1973,4.125,4.125,0,4.125,4.125,1.4020637273788452
28-03-1973,4.1875,4.1875,1600,4.1875,4.1875,1.4233061075210571
29-03-1973,4.1875,4.1875,0,4.1875,4.1875,1.4233061075210571
30-03-1973,4.1875,4.1875,800,4.1875,4.1875,1.4233061075210571
02-04-1973,4.125,4.125,2400,4.125,4.125,1.4020637273788452
03-04-1973,3.8125,3.8125,8800,3.8125,3.8125,1.2958471775054932
04-04-1973,3.625,3.625,8800,3.625,3.625,1.2321165800094604
05-04-1973,3.625,3.625,800,3.625,3.625,1.2321165800094604
06-04-1973,3.75,3.75,7200,3.75,3.75,1.2746034860610962
09-04-1973,3.75,3.75,0,3.75,3.75,1.2746034860610962
10-04-1973,3.8125,3.8125,11200,3.8125,3.8125,1.2958471775054932
11-04-1973,3.8125,3.8125,800,3.8125,3.8125,1.2958471775054932
12-04-1973,4.25,4.25,85600,4.25,4.25,1.4445500373840332
13-04-1973,3.9375,3.9375,8000,3.9375,3.9375,1.3383331298828125
16-04-1973,3.9375,3.9375,800,3.9375,3.9375,1.3383331298828125
17-04-1973,3.9375,3.9375,4000,3.9375,3.9375,1.3383331298828125
18-04-1973,3.9375,3.9375,0,3.9375,3.9375,1.3383331298828125
19-04-1973,3.9375,3.9375,0,3.9375,3.9375,1.3383331298828125
23-04-1973,3.9375,3.9375,42400,3.9375,3.9375,1.3383331298828125
24-04-1973,3.9375,3.9375,0,3.9375,3.9375,1.3383331298828125
25-04-1973,3.9375,3.9375,1600,3.9375,3.9375,1.3383331298828125
26-04-1973,3.875,3.875,800,3.875,3.875,1.3170896768569946
27-04-1973,3.75,3.75,2400,3.75,3.75,1.2746034860610962
30-04-1973,3.75,3.75,21600,3.75,3.75,1.2746034860610962
01-05-1973,3.75,3.75,0,3.75,3.75,1.2746034860610962
02-05-1973,3.8125,3.8125,800,3.8125,3.8125,1.2958471775054932
03-05-1973,4.125,0.0,9600,4.375,4.125,1.4020637273788452
04-05-1973,4.125,0.0,800,4.375,4.125,1.4020637273788452
07-05-1973,4.125,4.125,0,4.125,4.125,1.4020637273788452
08-05-1973,4.1875,0.0,4000,4.4375,4.1875,1.4233061075210571
09-05-1973,4.0625,0.0,4800,4.3125,4.0625,1.3808207511901855
10-05-1973,4.4375,0.0,12800,4.6875,4.4375,1.5082807540893555
11-05-1973,4.4375,0.0,12800,4.6875,4.4375,1.5082807540893555
14-05-1973,4.25,0.0,20800,4.5,4.25,1.4445500373840332
15-05-1973,4.25,4.25,0,4.25,4.25,1.4445500373840332
16-05-1973,4.25,4.25,0,4.25,4.25,1.4445500373840332
17-05-1973,4.125,0.0,6400,4.375,4.125,1.4020637273788452
18-05-1973,4.125,0.0,8800,4.375,4.125,1.4020637273788452
21-05-1973,3.75,0.0,11200,4.0,3.75,1.2746034860610962
