Date,Low,Open,Volume,High,Close,Adjusted Close
19-10-1999,24.125,30.5,22356000,34.0,25.25,11.269547462463379
20-10-1999,22.5625,26.75,5330900,27.8125,23.9375,10.683751106262207
21-10-1999,21.0,23.1875,2329900,23.1875,21.5,9.595853805541992
22-10-1999,20.3125,21.5,1627400,24.5,24.0,10.711651802062988
25-10-1999,23.25,24.5,583700,25.125,23.875,10.65585994720459
26-10-1999,23.5,23.5,645900,24.25,24.125,10.76744270324707
27-10-1999,23.6875,24.1875,587100,24.25,24.0,10.711651802062988
28-10-1999,23.875,23.875,532500,25.8125,25.1875,11.241652488708496
29-10-1999,23.5625,25.75,540700,26.0,24.125,10.76744270324707
01-11-1999,24.125,24.4375,362000,25.671875,25.0,11.15796947479248
02-11-1999,23.4375,25.4375,705400,25.8125,23.875,10.65585994720459
03-11-1999,22.875,24.6875,756200,25.0,23.0625,10.293224334716797
04-11-1999,22.625,23.4375,370800,23.4375,22.6875,10.12585735321045
05-11-1999,20.0625,22.6875,877000,23.125,20.75,9.261116027832031
08-11-1999,20.5,20.75,696900,23.125,23.0,10.26533031463623
09-11-1999,22.375,22.9375,236700,23.75,23.375,10.432697296142578
10-11-1999,22.4375,22.9375,371400,24.625,24.0625,10.739547729492188
11-11-1999,22.875,23.3125,305400,24.875,23.0625,10.293224334716797
12-11-1999,22.9375,22.9375,263800,24.4375,24.4375,10.906916618347168
15-11-1999,22.4375,24.5,325200,24.875,23.0625,10.293224334716797
16-11-1999,22.375,23.1875,350500,23.375,22.5,10.042171478271484
17-11-1999,21.5,22.5,229500,22.5,22.375,9.986383438110352
18-11-1999,20.625,22.375,553900,22.5,21.3125,9.51216983795166
19-11-1999,20.5,21.375,283100,21.4375,21.375,9.54006290435791
22-11-1999,21.3125,21.3125,264800,22.875,22.8125,10.181644439697266
23-11-1999,22.4375,22.9375,223300,23.25,22.875,10.209540367126465
24-11-1999,21.625,22.8125,236100,22.9375,22.125,9.87480354309082
26-11-1999,20.5,21.3125,356700,21.8125,20.5625,9.1774263381958
29-11-1999,20.5,20.625,551600,21.25,20.9375,9.34480094909668
30-11-1999,19.4375,20.625,487000,20.6875,20.125,8.982165336608887
01-12-1999,19.4375,20.5,528600,20.625,19.9375,8.898479461669922
02-12-1999,18.125,19.8125,527600,20.0,18.5,8.25689697265625
03-12-1999,16.25,18.375,1442600,18.625,17.125,7.643207550048828
06-12-1999,16.625,17.125,320000,17.625,16.625,7.4200520515441895
07-12-1999,14.8125,16.625,1158200,19.5,19.5,8.703216552734375
08-12-1999,16.625,18.8125,767800,18.9375,17.5625,7.83847188949585
09-12-1999,16.75,17.75,177900,17.875,16.9375,7.559523582458496
10-12-1999,16.8125,16.875,321700,17.25,17.125,7.643207550048828
13-12-1999,16.25,17.25,160100,17.3125,16.5,7.364256381988525
14-12-1999,15.875,16.5,173300,16.75,16.625,7.4200520515441895
15-12-1999,16.25,16.25,155900,16.75,16.5625,7.392155170440674
16-12-1999,16.25,16.3125,217900,17.0625,16.375,7.308470249176025
17-12-1999,15.5,16.5,112200,16.75,15.625,6.973731517791748
20-12-1999,14.0625,15.5,479900,15.875,14.1875,6.332148551940918
21-12-1999,14.5,14.5,350000,15.25,14.9375,6.66688871383667
22-12-1999,14.9375,15.1875,143900,15.5,15.5,6.917941570281982
23-12-1999,14.5,15.4375,98200,15.5625,15.1875,6.77846622467041
27-12-1999,14.8125,15.0,183700,15.1875,15.0,6.694784164428711
28-12-1999,14.125,14.8125,244200,15.0,14.8125,6.611095905303955
29-12-1999,14.25,14.875,172900,15.25,14.5625,6.499517917633057
