Date,Low,Open,Volume,High,Close,Adjusted Close
21-02-1973,4.546875,4.546875,20000,4.546875,4.546875,2.483773946762085
22-02-1973,4.578125,4.578125,6400,4.578125,4.578125,2.5008444786071777
23-02-1973,4.734375,4.734375,43200,4.734375,4.734375,2.586196184158325
26-02-1973,4.734375,4.734375,4800,4.734375,4.734375,2.586196184158325
27-02-1973,4.671875,4.671875,1600,4.671875,4.671875,2.552056074142456
28-02-1973,4.625,4.625,65600,4.625,4.625,2.5264523029327393
01-03-1973,4.640625,4.640625,3200,4.640625,4.640625,2.534985065460205
02-03-1973,4.625,4.625,1600,4.625,4.625,2.5264523029327393
05-03-1973,4.59375,4.59375,14400,4.59375,4.59375,2.5093796253204346
06-03-1973,4.609375,4.609375,108000,4.609375,4.609375,2.5179154872894287
07-03-1973,4.5,4.5,36000,4.5,4.5,2.4581668376922607
08-03-1973,4.5,4.5,8000,4.5,4.5,2.4581668376922607
09-03-1973,4.375,4.375,16800,4.375,4.375,2.389885187149048
12-03-1973,4.25,4.25,17600,4.25,4.25,2.3216044902801514
13-03-1973,4.3125,4.3125,14400,4.3125,4.3125,2.355743169784546
14-03-1973,4.265625,4.265625,13600,4.265625,4.265625,2.3301377296447754
15-03-1973,4.25,4.25,28000,4.25,4.25,2.3216044902801514
16-03-1973,4.25,4.25,121600,4.25,4.25,2.3216044902801514
19-03-1973,4.265625,4.265625,16800,4.265625,4.265625,2.3301377296447754
20-03-1973,4.21875,4.21875,20000,4.21875,4.21875,2.3045339584350586
21-03-1973,4.15625,4.15625,16800,4.15625,4.15625,2.270390510559082
22-03-1973,3.890625,3.890625,16000,3.890625,3.890625,2.125290870666504
23-03-1973,3.8125,3.8125,44000,3.8125,3.8125,2.0826146602630615
26-03-1973,3.78125,3.78125,25600,3.78125,3.78125,2.065544843673706
27-03-1973,4.0,4.0,25600,4.0,4.0,2.185039520263672
28-03-1973,4.234375,4.234375,12800,4.234375,4.234375,2.3130674362182617
29-03-1973,4.375,4.375,25600,4.375,4.375,2.389885187149048
30-03-1973,4.375,4.375,35200,4.375,4.375,2.389885187149048
02-04-1973,4.34375,4.34375,16000,4.34375,4.34375,2.372814416885376
03-04-1973,4.203125,4.203125,127200,4.203125,4.203125,2.2959961891174316
04-04-1973,4.09375,4.09375,32800,4.09375,4.09375,2.236250162124634
05-04-1973,4.0,4.0,29600,4.0,4.0,2.185039520263672
06-04-1973,3.90625,3.90625,55200,3.90625,3.90625,2.1338255405426025
09-04-1973,4.03125,4.03125,36000,4.03125,4.03125,2.2021090984344482
10-04-1973,4.125,4.125,12000,4.125,4.125,2.2533202171325684
11-04-1973,4.125,4.125,53600,4.125,4.125,2.2533202171325684
12-04-1973,4.125,4.125,16000,4.125,4.125,2.2533202171325684
13-04-1973,4.09375,4.09375,12000,4.09375,4.09375,2.236250162124634
16-04-1973,3.96875,3.96875,24000,3.96875,3.96875,2.1679677963256836
17-04-1973,4.03125,4.03125,12800,4.03125,4.03125,2.2021090984344482
18-04-1973,4.03125,4.03125,2400,4.03125,4.03125,2.2021090984344482
19-04-1973,4.0625,4.0625,25600,4.0625,4.0625,2.219179630279541
23-04-1973,4.125,4.125,10400,4.125,4.125,2.2533202171325684
24-04-1973,4.0625,4.0625,3200,4.0625,4.0625,2.219179630279541
25-04-1973,4.0625,4.0625,12800,4.0625,4.0625,2.219179630279541
26-04-1973,4.09375,4.09375,25600,4.09375,4.09375,2.236250162124634
27-04-1973,4.078125,4.078125,4000,4.078125,4.078125,2.227715253829956
30-04-1973,4.015625,4.015625,20000,4.015625,4.015625,2.193572759628296
01-05-1973,3.8125,3.8125,41600,3.8125,3.8125,2.0826146602630615
02-05-1973,3.875,3.875,38400,3.875,3.875,2.1167562007904053
03-05-1973,3.90625,0.0,13600,4.0,4.0,2.185039520263672
04-05-1973,4.03125,0.0,13600,4.171875,4.125,2.2533202171325684
07-05-1973,4.0625,0.0,4800,4.09375,4.0625,2.219179630279541
08-05-1973,3.96875,0.0,7200,4.09375,4.0,2.185039520263672
09-05-1973,3.875,0.0,283200,3.96875,3.921875,2.1423630714416504
10-05-1973,3.921875,0.0,4000,3.984375,3.984375,2.1765034198760986
11-05-1973,3.953125,0.0,24800,3.984375,3.953125,2.159432888031006
14-05-1973,3.875,0.0,10400,3.921875,3.875,2.1167562007904053
15-05-1973,3.84375,0.0,57600,3.875,3.84375,2.0996859073638916
16-05-1973,3.796875,0.0,121600,3.8125,3.796875,2.0740790367126465
17-05-1973,3.734375,0.0,23200,3.8125,3.734375,2.0399372577667236
18-05-1973,3.46875,0.0,49600,3.734375,3.46875,1.8948384523391724
21-05-1973,3.375,0.0,60000,3.46875,3.40625,1.8606971502304077
22-05-1973,3.40625,0.0,39200,3.5,3.484375,1.9033724069595337
23-05-1973,3.5,0.0,9600,3.625,3.625,1.9801909923553467
24-05-1973,3.625,0.0,9600,3.703125,3.703125,2.022867202758789
25-05-1973,3.8125,0.0,50400,3.921875,3.828125,2.0911498069763184
29-05-1973,3.8125,0.0,35200,3.890625,3.8125,2.0826146602630615
30-05-1973,3.65625,0.0,18400,3.78125,3.65625,1.997261643409729
31-05-1973,3.546875,0.0,10400,3.625,3.546875,1.9375125169754028
01-06-1973,3.5,0.0,38400,3.53125,3.53125,1.9289783239364624
04-06-1973,3.46875,0.0,30400,3.53125,3.5,1.9119089841842651
05-06-1973,3.5,0.0,22400,3.6875,3.625,1.9801909923553467
