Date,Low,Open,Volume,High,Close,Adjusted Close
21-11-1997,22.75,23.5,3821400,23.5,23.0,8.544045448303223
24-11-1997,22.25,23.0,541600,23.0,22.75,8.45117473602295
25-11-1997,22.6875,22.875,425000,23.0,23.0,8.544045448303223
26-11-1997,22.75,23.0,165200,23.0,22.75,8.45117473602295
28-11-1997,22.75,22.75,60500,23.0,23.0,8.544045448303223
01-12-1997,23.0,23.0625,120300,23.125,23.0625,8.567261695861816
02-12-1997,22.875,23.125,164200,23.125,23.0,8.544045448303223
03-12-1997,22.9375,23.0625,540000,23.0625,23.0,8.544045448303223
04-12-1997,23.0,23.0,43800,23.0625,23.0,8.544045448303223
05-12-1997,22.875,22.875,147500,23.375,23.0625,8.567261695861816
08-12-1997,23.0,23.0,74900,23.25,23.1875,8.613701820373535
09-12-1997,23.0,23.125,61000,23.1875,23.1875,8.613701820373535
10-12-1997,23.0625,23.125,104500,23.25,23.0625,8.567261695861816
11-12-1997,23.0,23.0,153600,23.125,23.0625,8.567261695861816
12-12-1997,23.0625,23.0625,59900,23.1875,23.1875,8.613701820373535
15-12-1997,23.0625,23.125,24400,23.1875,23.1875,8.613701820373535
16-12-1997,23.1875,23.1875,107900,23.75,23.625,8.82723331451416
17-12-1997,23.6875,23.75,63900,24.25,24.1875,9.037405967712402
18-12-1997,24.125,24.125,35700,24.25,24.25,9.060757637023926
19-12-1997,23.75,24.25,134400,24.25,23.875,8.920645713806152
22-12-1997,23.875,23.9375,34400,24.125,24.0,8.967351913452148
23-12-1997,24.0,24.0,88500,24.1875,24.0,8.967351913452148
24-12-1997,23.8125,23.9375,63300,24.0,24.0,8.967351913452148
26-12-1997,23.5625,23.875,34600,23.875,23.6875,8.850590705871582
29-12-1997,23.75,23.875,159600,24.0625,23.8125,8.897289276123047
30-12-1997,23.6875,24.0,52400,24.3125,24.3125,9.084111213684082
31-12-1997,24.375,24.375,215700,25.125,25.125,9.38769245147705
02-01-1998,24.625,25.0,52000,25.0,24.875,9.294286727905273
05-01-1998,24.625,24.75,42300,24.9375,24.625,9.200873374938965
06-01-1998,24.625,24.75,26900,24.75,24.6875,9.224226951599121
07-01-1998,24.4375,24.6875,49500,24.75,24.625,9.200873374938965
08-01-1998,24.375,24.5,95700,24.75,24.5625,9.177522659301758
09-01-1998,24.125,24.5,37800,24.5,24.375,9.107466697692871
12-01-1998,23.75,24.125,24500,24.4375,24.4375,9.130810737609863
13-01-1998,24.4375,24.5,190300,24.625,24.5625,9.177522659301758
14-01-1998,24.25,24.5,201800,24.75,24.75,9.247579574584961
15-01-1998,24.5,24.75,39200,24.75,24.5,9.154170989990234
16-01-1998,24.375,24.5625,13600,24.5625,24.5,9.154170989990234
20-01-1998,24.5625,24.625,63200,24.75,24.625,9.200873374938965
21-01-1998,24.5625,24.6875,90400,24.875,24.75,9.247579574584961
22-01-1998,24.625,24.875,99600,24.875,24.6875,9.224226951599121
23-01-1998,24.4375,24.75,11200,24.75,24.4375,9.130810737609863
