Date,Low,Open,Volume,High,Close,Adjusted Close
22-06-1988,4.625,0.0,18200,4.75,4.625,2.751614570617676
23-06-1988,4.25,0.0,51100,4.5,4.25,2.528510570526123
24-06-1988,4.375,0.0,11800,4.375,4.375,2.6028783321380615
27-06-1988,4.25,0.0,13200,4.375,4.25,2.528510570526123
28-06-1988,4.0,0.0,16200,4.25,4.0,2.379774570465088
29-06-1988,4.125,0.0,8900,4.25,4.125,2.4541425704956055
30-06-1988,4.375,0.0,47300,4.5,4.375,2.6028783321380615
01-07-1988,4.75,0.0,29100,4.875,4.75,2.825981378555298
05-07-1988,4.625,0.0,14000,4.875,4.625,2.751614570617676
06-07-1988,4.5,0.0,20000,4.625,4.5,2.677245616912842
07-07-1988,4.5,0.0,6900,4.625,4.5,2.677245616912842
08-07-1988,4.375,0.0,9300,4.5,4.375,2.6028783321380615
11-07-1988,4.375,0.0,31400,4.5,4.375,2.6028783321380615
12-07-1988,4.375,0.0,3600,4.625,4.375,2.6028783321380615
13-07-1988,4.5,0.0,2800,4.625,4.5,2.677245616912842
14-07-1988,4.375,0.0,26400,4.625,4.375,2.6028783321380615
15-07-1988,4.375,0.0,13000,4.625,4.375,2.6028783321380615
18-07-1988,4.25,0.0,10500,4.5,4.25,2.528510570526123
19-07-1988,4.125,0.0,7500,4.375,4.125,2.4541425704956055
20-07-1988,3.875,0.0,31400,4.125,3.875,2.3054065704345703
21-07-1988,4.0,0.0,13200,4.125,4.0,2.379774570465088
22-07-1988,3.875,0.0,21100,4.125,3.875,2.3054065704345703
25-07-1988,3.875,0.0,2000,4.125,3.875,2.3054065704345703
26-07-1988,3.875,0.0,26900,4.0,3.875,2.3054065704345703
27-07-1988,3.875,0.0,1900,4.0,3.875,2.3054065704345703
28-07-1988,3.875,0.0,10300,4.0,3.875,2.3054065704345703
29-07-1988,3.875,0.0,14200,4.0,3.875,2.3054065704345703
01-08-1988,4.0,0.0,19700,4.125,4.0,2.379774570465088
02-08-1988,3.875,0.0,17500,4.125,3.875,2.3054065704345703
